game_id,name,release_date,total_reviews,positive_percent,genres,tags,current_price,discounted_price,owners,days_after_publish,review,owner_min,owner_max,owners_log_mean
730,Counter-Strike 2,2012-08-21,8835273,86,"Action, Free To Play",Action;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",4682,a,100000000.0,200000000.0,141421356.23730987
730,Counter-Strike 2,2012-08-21,8835273,86,"Action, Free To Play",Action;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",4682,ec,100000000.0,200000000.0,141421356.23730987
730,Counter-Strike 2,2012-08-21,8835273,86,"Action, Free To Play",Action;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",4682,oyunun her tarafından hileci oyuncular fışkırıyor ne bir inceleme bir ban sistemi yok rezalet,100000000.0,200000000.0,141421356.23730987
730,Counter-Strike 2,2012-08-21,8835273,86,"Action, Free To Play",Action;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",4682,solid 10/10 will play 24/7,100000000.0,200000000.0,141421356.23730987
730,Counter-Strike 2,2012-08-21,8835273,86,"Action, Free To Play",Action;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",4682,кайф играю....,100000000.0,200000000.0,141421356.23730987
578080,PUBG: BATTLEGROUNDS,2017-12-21,2563089,59,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",2734,Да было время . Хорошая игра .,100000000.0,200000000.0,141421356.23730987
578080,PUBG: BATTLEGROUNDS,2017-12-21,2563089,59,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",2734,无法玩了，老是封我72小时，我在外地工作没有电脑都是来网吧玩的，打匹配没事，玩竞技排位就封72小时，还让人怎么玩？刚更新看到有一个任务要玩30分钟竞技模式，结果没有玩几分钟封我72小时，无语了，我没有开如何辅助 更别说开什么挂了，我就一个号 冲了不少钱，一直玩的这个号。,100000000.0,200000000.0,141421356.23730987
578080,PUBG: BATTLEGROUNDS,2017-12-21,2563089,59,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",2734,я хуею с этой прикормки. КУПИЛ ЗА 2К ПОТОМ СТАЛА БЕСПЛАТНОЙ),100000000.0,200000000.0,141421356.23730987
578080,PUBG: BATTLEGROUNDS,2017-12-21,2563089,59,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",2734,"Le Jeu est Bon, les Avis Négatif c'est les Fans de Fortnite qui pleure de pas pouvoir build un château dés qu'ils prennent une balle et qui doivent réfléchir un peu plus avant de ce déplacer a pied en OpenField.
Le skill compte sur le Jeu, Forcément, 100 Joueurs 4 à 1 Gagnant max sur chaque partie, des déçus à chaque partie, mais aussi une bonne satisfactions quand c'est à ton tour de briller.",100000000.0,200000000.0,141421356.23730987
578080,PUBG: BATTLEGROUNDS,2017-12-21,2563089,59,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Free To Play,Free To Play,"100,000,000 .. 200,000,000",2734,"После обновления игра постоянно вылетает на рабочий стол, после не дает подключится к запущеной игре, до этого были периодические проблемы с выводом звука, более лагучей помойки еще не видел",100000000.0,200000000.0,141421356.23730987
1172710,Dune: Awakening,2025-06-10,22634,86,,,Free To Play,Free To Play,,6,"Using the sprint ability of the one class can glitch you out of bounds and the games way of dealing with that is to just teleport you deep into the desert where you have no hope of escaping the sandworm, instead of oh, I dont know, a trading post. Thanks for wasting hours of my time developers.",,,
1172710,Dune: Awakening,2025-06-10,22634,86,,,Free To Play,Free To Play,,6,10/10,,,
1172710,Dune: Awakening,2025-06-10,22634,86,,,Free To Play,Free To Play,,6,the spice must flow,,,
1172710,Dune: Awakening,2025-06-10,22634,86,,,Free To Play,Free To Play,,6,You can tell there are some dedicated fans that helped develope this game. Well done. I am in Arrakis for the first time in a video game. You've captured something special.,,,
1172710,Dune: Awakening,2025-06-10,22634,86,,,Free To Play,Free To Play,,6,"great survival game so far. the shooting feels really, really nice.",,,
1551360,Forza Horizon 5,2021-11-08,209019,88,"Action, Adventure, Racing, Simulation, Sports",Action;Adventure;Racing;Simulation;Sports,$32.78,$16.39 USD,,1316,"my first forza horizon game, did not dissapoint",,,
1551360,Forza Horizon 5,2021-11-08,209019,88,"Action, Adventure, Racing, Simulation, Sports",Action;Adventure;Racing;Simulation;Sports,$32.78,$16.39 USD,,1316,meow,,,
1551360,Forza Horizon 5,2021-11-08,209019,88,"Action, Adventure, Racing, Simulation, Sports",Action;Adventure;Racing;Simulation;Sports,$32.78,$16.39 USD,,1316,a racing game like no other,,,
1551360,Forza Horizon 5,2021-11-08,209019,88,"Action, Adventure, Racing, Simulation, Sports",Action;Adventure;Racing;Simulation;Sports,$32.78,$16.39 USD,,1316,"muito bom
",,,
1551360,Forza Horizon 5,2021-11-08,209019,88,"Action, Adventure, Racing, Simulation, Sports",Action;Adventure;Racing;Simulation;Sports,$32.78,$16.39 USD,,1316,güzel bir oyun ama aması yok gayet güzel,,,
2138720,REMATCH,2025-06-19,0,0,"Action, Indie, Sports",Action;Indie;Sports,$14.99 USD,$14.99 USD,,-2,,,,
