game_id,name,release_date,total_reviews,positive_percent,genres,tags,current_price,discounted_price,owners,days_after_publish,review,owner_min,owner_max,owners_log_mean
201270,Total War: SHOGUN 2,2011-03-15,34852,91,Strategy,Strategy,$14.99,$3.74 USD,"2,000,000 .. 5,000,000",5209,"yes Best of the total war series, blood mod is necessary Gud Ich mag halt einfach Japan!!! Fun with a lot of variety",2000000.0,5000000.0,3162277.6601683795
335240,Transformice,2015-01-30,27707,87,"Free To Play, Indie, Massively Multiplayer",Free To Play;Indie;Massively Multiplayer,Free To Play,Free To Play,"2,000,000 .. 5,000,000",3792,"Gratis Te corre con casi cualquier computadora Adictivo Sin pay to win - La comunidad es de LO PEOR, cada vez que la cagas como chaman o le robas el first a alguien, te dicen noob - Se necesita un internet muy bueno para poder hacer first. por mas que entres primero al agujero, puedes llegar a perder tu first en caso de que los otros tengan un mejor internet que vos Es un excelente juego, es mejor si tienes a alguien mas para jugar, es divertido, enviciante y sencillo, uno de los mejores free to play que conozco Fareler İş Başında :D Sranda,Láska :D Super není co dodat! Melhor que CS:GO, The witcher e o melhor jogo depois e need for speed undercover",2000000.0,5000000.0,3162277.6601683795
427520,Factorio,2020-08-14,171999,97,"Casual, Indie, Simulation, Strategy",Casual;Indie;Simulation;Strategy,Factorio Demo,Factorio Demo,"5,000,000 .. 10,000,000",1770,"Juste une minute de plus, après j'arrête. xenophobia in its final form I have no idea what I'm doing. All I know is the factory must expand. one of the most entertaining games i've ever played. Bought the game and couldn't stop playing",5000000.0,10000000.0,7071067.811865473
534380,Dying Light 2 Stay Human: Reloaded Edition,2022-02-03,146951,79,"Action, Adventure, RPG",Action;Adventure;RPG,$39.99,$13.19 USD,"5,000,000 .. 10,000,000",1232,"Na początku mojej przygody z Dying Light 2 skupiłem się głównie na szybkim przejściu fabuły, co szczerze mówiąc nie zrobiło na mnie dużego wrażenia. Gra wydawała się wtedy trochę nijaka. Jednak postanowiłem zacząć od nowa, tym razem skupiając się bardziej na eksploracji, misjach pobocznych i ogólnym klimacie świata. I to była świetna decyzja. Z czasem gra naprawdę mnie wciągnęła. Klimat miasta, poczucie zagrożenia i chaosu wszystko jest bardzo dobrze oddane. Mechanika walki jest świetna brutalna, dynamiczna i satysfakcjonująca. Każda walka daje frajdę, zwłaszcza gdy nauczysz się wykorzystywać otoczenie i parkur. A skoro już o tym mowa parkur to temat, który budzi u mnie mieszane uczucia. Z jednej strony daje dużo swobody i radości z przemieszczania się po mieście, ale z drugiej czasami działa, jak chce. Zdarzało się, że postać nie złapała się krawędzi, mimo że wyraźnie powinna, albo że nie mogłem zejść w dół po złapaniu się jakiejś krawędzi. Trochę frustrujące, ale da się przyzwyczaić. W porównaniu do pierwszej części Dying Light miało nieco inny klimat, bardziej surowy i mroczny, którego trochę mi tu brakuje. Mimo to, dwójka nadal trzyma wysoki poziom i oferuje masę dobrej zabawy. Moja ocena: 8.510 zdecydowanie warto zagrać, szczególnie jeśli lubisz połączenie parkuru, walki i klimatu postapo. To be fair, I'm early on. Still, I'll cover the very few let downs for me, before singing the game's praises. I honestly hoped this continued Kyle Crane's story. I just got attached to that character, and was hoping for some sense of progression with the skills I had already gained from the first game. I didn't look into what this game was before I bought it, though. That said, Aiden is quickly growing on me. The combat just doesn't feel as fluid as the first game. That will likely improve as I gain more skills, but this guy is supposed to be someone who's been a Pilgrim for years. That and the gene therapy he had I'm assuming that's what it was, he should already be a bad. Now, the positives. I mean, where to start? The game is beautiful, run's smooth, and the story already has me hooked! I can see how the parkour and combat will become better with more skills and stats, even if it's a bit of a pain for now. I love how the protagonists and characters are done in the Dying Light games! There's genuine personality and it feels more like how people would really act and speak in the world they are in. The side quests are fairly unique and satisfying, much like the Witcher. I'm also a fan of stealth being a factor in the game. Honestly, despite the few things that felt like a temporary let down, I'd easily call this game a 910 for the type of game it is. It may be 1010 by the time I finish : I do hope to try the coop at some point. I can see how this one is far better designed for an engaging coop experience, than the first one. Keeping in mind, the first one was still really good. All in all, AWESOME job dev team! this game made me kill a dog and is full of bugs after like 3 years of being on steam 6666666666 fun game but def failed expectations. I swear they remade this whole game after they fired the lead bc of some made up me too movement thing. Feels like they auto generated the whole world rinse and repeat but combat is fun and hopefully the beast is the complete opp when it comes to world.. graphics look way better in the next one but as a dying light fan you should play the whole series.",5000000.0,10000000.0,7071067.811865473
714210,Zula Türkiye,2018-01-11,17537,48,"Action, Adventure, Casual, Massively Multiplayer, Free To Play",Action;Adventure;Casual;Massively Multiplayer;Free To Play,Free To Play,Free To Play,"0 .. 20,000",2716,,0.0,20000.0,0.0
815370,Green Hell,2019-09-05,61104,86,"Action, Adventure, Indie, Simulation",Action;Adventure;Indie;Simulation,$12.49,$3.12 USD,"2,000,000 .. 5,000,000",2114,"Toller Service. Tolles Game! Playing multiplayer is a game changer. I really like that you can change the settings to get rid of certain bugsanimals, the leeches freak me tf out makes me cream good game MUITO BOM",2000000.0,5000000.0,3162277.6601683795
883710,Resident Evil 2,2019-01-24,119210,96,,,Free To Play,Free To Play,"5,000,000 .. 10,000,000",2338,"nerf mr X kocham leona The best 810, Claire and Leon are slow as dick I enjoyed this game a lot. It was the first RE Game I played. The graphics were good, the stories were good and the gameplay was good. Overall a very good game. Definitely worth it.",5000000.0,10000000.0,7071067.811865473
1085660,Destiny 2,2019-10-01,626320,79,"Action, Adventure, Free To Play",Action;Adventure;Free To Play,Free To Play,Free To Play,"20,000,000 .. 50,000,000",2088,"1500hrs on d1 as well What A Fucking Shame. Bungie soll sich Mühe geben, dieses eigentlich tolle Spiel zu retten und nicht wegen einer 'Plagiat-shit-show' wie Marathon im Stich zu lassen. Remember what they stole from you. Начал играть не так давно, в 2019 году. Наиграл пару сотен часов. Затянуло. I have been playing the Destiny franchise since it first came out and it's a great game. It's had its ups and downs, which have been well-publicized, but I still enjoy it.",20000000.0,50000000.0,31622776.601683773
1196590,Resident Evil Village,2021-05-07,82356,95,,,Free To Play,Free To Play,"2,000,000 .. 5,000,000",1504,"oyna Realmente muito bom, mas não o melhor. Na minha opinião RE2 e RE4 foram melhores. v klidu Olabilicek en iyi oyun serilerinden olan Resident Evil serisinin en iyi oyunudur. Ethanın hikayesi bu zamana kadar ki oyunlar arasından bana en geçen karakterdi. Ethan iyi bir baba, iyi bir eş, iyi bir askerdi o7. Hazır ilk Resident Evil incelememi yazıyorken, seriye nasıl adım attığımı da anlatayım dedim. Seriye başlangıcım Resident Evil Village ile olmadı. Benim ilk oynadığım Resident Evil oyunu Resident Evil 4 Remaketi. Korku ögesi az, aksiyonu bol ama Resident Evil 5-6 gibi raydan çıkmamış bir oyun olduğundan seriye başlamak için güzel bir seçim olduğunu düşündüm. 4ü bitirip o damak tadını aldıktan sonra soluğu 2 ve 3ün remake versiyonlarında aldım. Ardından... bir duraksama. Çünkü TPS kamera açılı Resident Evil 2,3 ve 4'e katlanabilirdim ama FPS kamera açılı 7 ve Village, işte onu yapamazdım; en azından öyle sanıyordum. Ama gün geldi, o eski korkak halime meydan okudum. Ya bismillah deyip 7yi, ardından Villageı indirdim. Şimdi de karşınızdayım; sizleri Villageın hem gotik hem grotesk dünyasına, o ürkütücü köyüne, kalelerine, çürümüş labirentlerine davet ediyorum. h1Hikaye ve Karakterler h1 Hikaye bakımından Village, Resident Evil 7ye göre çok daha kapsamlı. Acaba şimdi ne olacak? dedirten bir olay örgüsü var ve her adımı takip etmeye değer. Mekan tasarımları ve atmosfer de bu evreni fazlasıyla besliyor. Oyunun bazı kısımları RE4ün o ikonik köy sahnelerini, bazıları ise RE7nin klostrofobik gerilimini anımsatıyor. Özellikle dar koridorlarda bulmaca çözdüğümüz bölümler bana fazlasıyla RE7 havası verdi. Karakter tarafında bu sefer daha fantastik ve karikatürize karakterlerle karşı karşıyayız. Lady Dimitrescu, Heisenberg gibi isimler, RE7deki Baker ailesine kıyasla daha abartılı tiplemeler ama kesinlikle kötü yazılmış değiller. Ethan ise her zamanki gibi olaylara tam anlam veremese de yıkılmadan devam eden, sessiz ama inatçı bir karakter. Chris Redfield ile ilk tanışmam da bu oyuna denk geldi. Soğuk görünse de aslında içten içe iyi biri olduğunu hissediyorsunuz. h1Oynanış h1 Resident Evil Villageın temel oynanışı RE7ye oldukça benziyor ama bazı önemli farklılıkları var. Öncelikle vuruş hissi çok daha başarılı, özellikle animasyonlar sayesinde her silahın gücünü daha net hissediyorsunuz. Düşmanların bir kısmı hâlâ kurşun yutmaktan bıkmasa da, bu sefer tepki veriyorlar en azından. Silah geliştirme sistemi, tüccar mekaniği ve loot hissi RE4 havası katıyor. Özellikle tüccar sistemi beni mutlu etti. Metroidvania benzeri ilerleme, yani şurada bir şey vardı ama açılmıyordu, şimdi geri dönüp bakayım tarzı sistem RE7ye göre daha yoğun hissettiriliyor. Bazen bu durum biraz yorucu olabiliyor ama genel olarak işliyor. Bulmacalar klasik RE ayarında: Ne çok zor ne de çocuk oyuncağı. Boss savaşlarına gelirsek; tasarımları oldukça iyi ama bazıları gereksiz uzun sürüyor. Cephane boşaltıyorum resmen ama yok boss hâlâ düşmüyor, resmen duvara ateş ediyormuş gibi hissediyorsun bir yerden sonra. h1Teknik Detaylar h1 Genel anlamda oyun stabil bir performans veriyor ama özellikle Lady Dimitrescu boss savaşında FPSim yerlerde süründü. Bunun dışında ciddi bir problem yaşamadım. Grafikler RE7ye göre daha bir tık ileri, atmosfer, ışıklandırma, çevre detayları oldukça etkileyici. Eksik olarak ise FOV ayarı yok. Benim gibi dar kamera açılarından rahatsız olan biri için bu büyük eksiklik. RE7de bu ayar varken burada olmaması tuhaf geldi açıkçası. Son olarak müziklere pek dikkat etmedim o yüzden pek bir yorumum yok. h1Kapanış h1 Resident Evil Village, korku ve aksiyonu iyi harmanlayan, atmosferiyle öne çıkan, hikayesiyle bağ kurduran bir yapım olmuş. RE7 kadar korkutmasa da yer yer gerçekten sağlam gerdi. FPS kamera açısına ve hayatta kalma korku türüne meraklıysanız ama nereden başlayacağınızı bilemiyorsanız; Village, sizi içine çekmeyi başaracak güzel bir başlangıç noktası olabilir. İncelememi okuduğunuz için teşekkür ederim.",2000000.0,5000000.0,3162277.6601683795
1466060,Tainted Grail: The Fall of Avalon,2025-05-23,13309,87,"Action, Adventure, Indie, RPG",Action;Adventure;Indie;RPG,$20.99 USD,$20.99 USD,"200,000 .. 500,000",27,"its GOTY for me skyrim in the first map elden ring in the next 1010 Excelente juego de fantasía oscura en primera persona. Si bien no inventa nada nuevo y deja bastante claros cuáles son sus referentes, vayamos por partes con lo que más me ha gustado: La jugabilidad recuerda mucho a títulos como The Elder Scrolls, pero con un giro interesante: el simple hecho de añadir un dash y mecánicas de parry lo vuelve mucho más dinámico y entretenido. El apartado artístico es simplemente sublime. Los paisajes, el diseño de entornos y personajes, el equipo... Todo está impregnado de alma y ese toque oscuro y decadente que personalmente me fascina. No hay un solo rincón que no transmita esa atmósfera. La banda sonora es potente, con varios temas memorables que brillan en momentos clave. Y el mayor punto fuerte: la trama. Oscura, compleja y absorbente desde el primer momento. Es cierto que decae un poco en el segundo y tercer acto, pero eso no empaña el conjunto. La historia principal mantiene el interés hasta el final. Mención especial a las misiones secundarias: algunas están a la altura de las mejores de Divinity: Original Sin II o The Witcher 3. No es poca cosa. Ahora, lo que menos me ha gustado: A nivel técnico, el juego muestra sus costuras. No hablo tanto del apartado gráfico que, aunque modesto, es bonito y funcional sino de problemas más serios: popping muy visible, caídas de rendimiento en ciertas zonas, tirones, errores visuales Por ejemplo, hay áreas enteras que no pasan de los 50 FPS a pesar de que la CPU va sobrada. Confío en que muchos de estos fallos se corrijan en futuros parches. La animación del caballo es rara y poco fluida. Da la sensación de que la mecánica se implementó deprisa y sin mucho cariño. Además, el mundo no te empuja a usarlo: caminar es más cómodo. Lo mismo ocurre con la vista en tercera persona. Entiendo que se añadió por petición de la comunidad o como medida de accesibilidad, pero sinceramente no era necesario. No se ve bien, no se controla bien, no se siente bien. Parece un mod, y uno no muy bien integrado. A pesar de estos fallos aquí y allá, Awaken Realms ha creado un universo fascinante al que me encantaría volver. Questline ha hecho un trabajo sólido con los recursos que tenía y ha sabido dar vida a una fantasía oscura rica en detalles y alma. Si te gustan los RPG de la vieja escuela, donde cada decisión importa y puedes perderte en un mundo abierto lleno de secretos si disfrutas de las ambientaciones densas y sombrías y si, como un servidor, eres fan del mito artúrico, Camelot y los caballeros de la mesa redonda, no se que esperas a jugarlo. Quickly becomes boring in the middle of Act 2 - everything is the same, enemy AI is poor and basic - even bosses are copies of each other. A lot of bugs - key NPCs for quests can disappear, sometimes you cant interact with objects, quite often you can move through textures, some quest events can crash the game... Last Act 3 - just joke - instead of grand city and finale - we have 4 villages with a lot of boring quests. I believe devs should release full game a bit later, cuz right now game looks unfinished and raw Tainted grail is REALLY good and fills that missing elder scrolls niche for the first two acts of the game, very dense, good dungeon design, fun combat for every style, nice skill trees, tons of unique magic items and spells, looks good, a few lovely characters, just a very very dense well made game then you get to the final area and it becomes extraordinarily clear that the game isn't finished. Missing geometry, bugged quests, major characters with no voice acting suddenly, no rewards from dungeons, major faction questlines ending with a very weak binary choice that affects nothing and no rewards, quests that by their description should have some complex or nuanced solutions that just summon an enemy and you kill it for no reward, less quests in general, areas and characters just showing their filenames SceneEnding_AlchemistDungeon_Final. things like that everywhere. While its understandable for a dev to have to rush a game out the door due to deadlines and investors being demons in human skin this one REALLY needed to cook for another few months to a year and just have act 3 release later. Great game up until then though, I hope the devs fix it so it lives up to its potential and ambition. One of the best classic rpgs in last years",200000.0,500000.0,316227.7660168382
