review,game_id,game_name,genres,owners
It is a fun complex rpg Shooter game where u can play as a team to attack and defend the site from planting the bomb. I recommend ages 14+ To play this. Some people are kinda mean in voice chat tho.... Kind regards :ME!,730,Counter-Strike 2,"Action, Free To Play","100,000,000 .. 200,000,000"
"一直卡在加载页面，到后面直接连接不了服务器，给我整7天竞技冷却
",730,Counter-Strike 2,"Action, Free To Play","100,000,000 .. 200,000,000"
Je tombe que sur des russes très marrant et des turcs. je me fais 1tap par des gens a 100km/h bravo Valve je recoomande ce jeux,730,Counter-Strike 2,"Action, Free To Play","100,000,000 .. 200,000,000"
好玩好玩！,730,Counter-Strike 2,"Action, Free To Play","100,000,000 .. 200,000,000"
1.6 легенда,730,Counter-Strike 2,"Action, Free To Play","100,000,000 .. 200,000,000"
没G就更好玩了,578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play","100,000,000 .. 200,000,000"
好玩 就是挂多,578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play","100,000,000 .. 200,000,000"
"Comprei desde q lançou essa bagaça paguei 80 conto acho, hj é de graça kkkk, enfim... eu acho q o jogo esta no seu melhor momento sem hacks, bem otimizado e conexao estável, ja foi esquecido por muitos porem ainda é bem divertido e realista. chama mais 3 amigos e bora!",578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play","100,000,000 .. 200,000,000"
外挂太多,578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play","100,000,000 .. 200,000,000"
这么多挂也不封不处理 本人都不想玩了  玩不下去了 还推荐给别人  有平替的游戏直接就走人了,578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play","100,000,000 .. 200,000,000"
