game_id,name,release_date,total_reviews,positive_percent,genres,tags,current_price,discounted_price,owners,days_after_publish,review,owner_min,owner_max,owners_log_mean
440,Team Fortress 2,2007-10-10,1170169,90,,,,,"50,000,000 .. 100,000,000",6495,"I Buy Hat, Hat Good, is Good Game. : this game made me want to buy a toaster and have a bath with it. good game S lot of fun and spy's backstab",50000000.0,100000000.0,70710678.1186548
550,Left 4 Dead 2,2009-11-17,745997,97,Action,Action,$5.79 USD,$5.79 USD,"50,000,000 .. 100,000,000",5726,"ipod El F1 no es solo un botón F1 es amor, es vida. Porque cuando todo se viene abajo, un F1 puede ser la diferencia entre el final y una nueva oportunidad. Fun and easy to pick up and play with friends DESCARGALO YA PUTO QUE ESPERAS pa su f1 god",50000000.0,100000000.0,70710678.1186548
233860,Kenshi,2018-12-06,84453,95,"Action, Indie, RPG, Simulation, Strategy",Action;Indie;RPG;Simulation;Strategy,$14.99,$5.99 USD,"2,000,000 .. 5,000,000",2420,"Great Game! I've literally never been happier. I hope Kenshi 2 has a LAN or multiplayer co-op system. that would be really cool to see. I mean, imagine gathering up an army to fight your friends or working together in to take down the Bugmaster. I have been running the Kathun mod for much of my play time. theres so many ways to play and that customizable expierence really makes this game endless. trap Bip jgo top you WILL suffer at first.... but you WILL learn and grow... over time.... slowly, but surely.... you will be bored.... you will be frustrated... you will be lost.... and you will be broke and confused and scared.... but every step and every person you recruit... every battle you survive, WILL sculpt you into something the world has never seen before.... it will take time... it will take patience... but the bigger mark you leave on it, the bigger mark it leaves on you.",2000000.0,5000000.0,3162277.6601683795
266410,iRacing,2015-01-12,3733,84,,,,,"500,000 .. 1,000,000",3844,"I created this account to try iRacing one last time, since I had already tried it for 1 month in my main account. This game is straight up not worth it, you're paying a premium for the illusion of feeling like you're part of an elite cult. h1The positiveh1 iRacing sports an incredible amount of variety when it comes to tracks and cars, no game even comes close to it and likely never will. The cars are beautifully modeled, tons of detail on the interior and exterior of the cars. The setup pages also look believably realistic, with each car sporting very different options for each part you can fine tune. Not many other games go this far with detail, especially on the setup menus. There are always people playing this game, I don't think I've ever seen the online player count be below 10k, regardless of the time. Again, no other game in the same genre gets even close, and probably none will ever. However, this doesn't necessarily mean all races are populated. I'll talk about it in the negative part. Sadly, that's about it. There are many other positive points but they get so heavily overshadowed by the negative part that they will need to be addressed in the next part. Also, there is one big problem with this game that essentially renders all these good things pointless anyways. h1The negativeh1 Even though there's a lot of variety, a lot of series will see a very small attendance number. I think part of this is because many events have a lot of waiting time between races, forcing people who want to race more often to the series that do run more often. Most players will be doing sports car racing, oval and formula run rather similar numbers at a glance. The dirt racing stuff is kind of a wasteland, I'm pretty sure you'll be seeing the same names for a long time if you decide to race those series. Some series run tons of events with only 10 players at most, sometimes there may be a spike at a certain hour but that's the one time during the day that series sees multiple splits. Most people will be doing MX5s or GT3s, but GT3s only run every two hours although enough events cross over for constant racing. I don't know about Oval or Formula, but I'm sure it works the same way but with less people. Most tracks are still missing properly modeled rumble strips, they just play sound and have slightly less grip but that's about it. They don't bump the car up and down, it's very easy to just drive over the curbs without the car really protesting. Granted, even on the tracks with proper collisions on the curbs the cars still behave nice, but the difference is noticeable and you have to be more careful to not make a mistake when driving over them. Trackside objects range from okay to 2008. More recent tracks, or tracks that had been revamped recently, look fine, but there are a lot of tracks that look very dated. At least the driving surface is nice and detailed, but they really look a generation old. The car collisions and general netcode doesn't feel great either. Sometimes the smallest contact gives you tons of damage, sometimes a pretty hard hit does nothing. Their lag compensation stuff is pretty inconsistent, but sadly people don't play with that in mind... Most of my races I've just sandbagged quali and just took the scraps during the race. If you're trying to go through the licenses to unlock the races for the content you purchased, be prepared to avoid racing because it's far too dangerous to go close to other cars. Then of course, the big iRacing tyre debacle. It is as you've heard, these tyres cannot go over the limit without throwing a fit. You have to under drive the car to be on the limit, the tyres will be screeching and screaming but your inputs are like if you're driving grandma to church. It's very counterintuitive, but honestly, once you get the hang of it it's pretty nice. The low speed grip is nice and the cars do feel very darty and planted, a big contrast when compared to many newer sims that have a very sloppy and delayed initial bite to the tyre. But this comes at the cost of the tyres just turning off the moment you press the throttle a bit too hard, or trailbraked a bit too well. It's very easy to tell when you go over the limit, but once you notice that it's almost always too late. To be fair, it's easy enough to stay under the limit, but of course you have to push the limits of the tyres to go fast and the game punishes you very harshly when you go over. Even the updated GT3 tyres have this issue, and this was the main reason I wanted to try iRacing. If this is worlds better than what they had before, I honestly feel bad for whoever was driving GT3s before. The car will just wipe out on you when the tyres are on the colder side and even when up to temp it's very easy to just have the car die on you. The MX5s are absolute hell to drive, these cars are thrashed around the track in real life, but in iRacing you need to drive them with clinical precision. You're still doing 4 wheel slides through the turns, but your inputs really don't match what the car is doing. It's very, very awkward. h1The worst parth1 This would all be acceptable if it wasn't for the insane premium you have to pay. Steam is the cheapest way to get into this game, I bought 1 year of iRacing for 20 euro yes, after tax. I also bought two GT3s because I wanted to have those so I could compare the driving with other games. However, once this subscription is over I'll have to pay 80 euros to renew it, and that is on Black Friday which is the cheapest discount they offer for renewals. But the subscription is just the beginning, then there's a fee of 14 euros per car and 17 per track. The final price will depend on your country or state's VAT, but it won't be too far from that. If you decide to get into a series that doesn't run a lot of free content, you'll be paying around 150 euros to be able to race it. And that will only work for that season which changes every quarter. They'll keep making you buy new tracks if you want to do all the races in your series of choice. There's a discount if you buy stuff on bulk, but it's such a small amount that won't really make a dent unless you're spending thousands on getting all the content in the game. THOUSANDS to have everything in this game, not hundreds. This is how they lock you into their game. You spend thousands on the content, so what's another 200 every 2 years to keep using it. Maybe it's my luck, but this doesn't help with the quality of the racing anyways. You'd think that people who get into this game and pay hundreds every year for the content and the game would take it more seriously and avoid dumb moves, especially with how this game's netcode can be pretty bad. Top split, bottom split, doesn't matter, a lot of people just don't know how to drive and they just ruin everything. Again, this would be fine if it wasn't for the cost. On the topic of the netcode, a lot of people say the price of the subscription is justified since they need to keep the service running, but other games are doing a better job while being a fraction of the price. bThe only thing iRacing simulates properly is the money pit that independently run motorsport is.b IRacing ist einfach eine realistische und super schöne Rennsimulation. JA GUT é bom Best Racing Sim I've played so far",500000.0,1000000.0,707106.7811865465
531130,Euro Truck Simulator 2 - Vive la France !,2016-12-05,1884,91,,,,,"0 .. 20,000",3151,"Un DLC que añade el resto de ciudades de Francia 23 nuevas. Está bastante bien su ambientación, carreteras y ciudades aunque el problema que le hallo es el mismo que el juego base, se sienten pequeñas y desaprovechadas las ciudades, pero vale la pena aún así, aunque, vale mucho más la pena si se compra desde el paquete de ''Mediterranean Bundle''. Realistyczne bo jak wjeżdżam do większych miast to już z dala widać afrykańskie skiny I don't recommend it, it's full of customs, go 20 km and go through customs!! lovely très bonne map, ca ressemble bien a la France, je recommande vachement",0.0,20000.0,0.0
534380,Dying Light 2 Stay Human: Reloaded Edition,2022-02-03,148942,79,"Action, Adventure, RPG",Action;Adventure;RPG,$39.99 USD,$39.99 USD,"5,000,000 .. 10,000,000",1265,"h1 Hikaye h1 b Dying Light 2nin hikayesi, ilk oyuna kıyasla daha uzun ve daha çok seçenek sunan bir yapıya sahip. Ana karakter Aiden'ın geçmişini arayışı biraz klasik kaçsa da, ilk oyunun düz ve kısıtlı anlatımına göre daha gelişmiş ve özgürlük sunan bir yapıda. Özellikle gruplar arasındaki çatışma ve oyuncunun seçimlerle hikayeyi şekillendirmesi, hafif bir RPG havası veriyor. Yine de bazı karakterler yüzeysel kalıyor ve kararların etkisi çoğu zaman beklenenden az hissediliyor. Atmosfer anlamında ilk oyunun o kapana kısılmış, ölümle iç içe havası biraz azalmış ama yerine daha büyük ve yaşayan bir şehir gelmiş.b h1 Atmosfer h1 bİlk oyunda sonlara doğru bile dışarı çıkmaya korkuyordum. Atmosfer çok gergin ve korkutucuydu, gerçekten oyunun içinde hissediyordun kendini. Ama Dying Light 2de başladıktan kısa süre sonra rahat rahat dolaşmaya başlıyorsun. Gece vakti çatılardan zıplıyorsun, zombiler artık eskisi kadar korkutucu değil. Sesler ve ışıklandırma da eski oyundaki gibi gerilim yaratmıyor. Kısacası, ilk oyundaki o atmosfer bu oyunda eksik kalıyor. Bir de oyun çok hızlı OP olmanı sağlıyor. Yetenek ağacını açıp güçlü silahlar bulunca, zombilerle savaşmak neredeyse çocuk oyuncağı oluyor. Bu da gerilim ve zorluk hissini daha da azaltıyor.b h1 Grafikler Fizikler h1 bGrafikler genel anlamda güçlü. İnsan modellemeleri ve karakter detayları baya başarılı, özellikle yüz animasyonları ve dövüş animasyonları iyi çalışılmış. Çevre detayları da fena değil, ama atmosfer olarak bazı yerlerde boş ve yapay hissettirebiliyor. Fizikler konusunda ise parkur sistemi ilk oyuna göre ciddi anlamda akıcı ve tepkisel çalışıyor. Dövüşlerdeki hissiyat da oldukça tatmin edici.b h1 Harita h1 bHarita oldukça büyük ve detaylı ama tasarım olarak biraz tekrar hissi veriyor. İlk oyundaki mahalle aralarındaki keşif ve atmosfer bu oyunda yerini apartmanlar arasında zıplamaya bırakmış. Çatıdan çatıya koşmak keyifli olsa da, keşif hissi zamanla sıradanlaşıyor. Keşfedilecek alan çok ama çoğu yer, burayı da yapmam lazım gibi hissettiriyor. Yani gerçekten merak edip gittiğin değil, haritada bir ikon gördüğün için uğradığın yerler oluyor. Bu da keşfin doğal değil, görev listesi gibi hissettirmesine yol açıyor.b h1Genel Değerlendirmeh1 bDying Light 2, ilk oyunun sağlam temelleri üzerine modern dokunuşlar ve genişletilmiş bir dünya sunuyor. Ancak hikaye ve atmosfer anlamında eski tadı tam yakalayamıyor. Yine de akıcı oynanışı, gelişmiş grafik ve fiziklerle birlikte zombi hayatta kalma deneyimini sevenler için keyifli bir alternatif. Sabırlı oyuncular, oyunun sunduğu seçim özgürlüğü ve yan içeriklerle uzun saatler harcayabilirler.b Dying light 2 is alright when it comes to gameplay, parkour is pretty fun and mostly enjoyable. The devs pour a lot of love into this game too. 1010 The combat and parkour are solid but the amount of pointless sidequests detract from the experience. Still, this remains fun throughout. juegarrrrrdo Completely garbage game, the night experience is totally ruined by the stupid ammount of Volatiles like theres one each 5 meters. In Dying Light 1, you was afraid by night, in Dying Light you are bored by night.",5000000.0,10000000.0,7071067.811865473
578080,PUBG: BATTLEGROUNDS,2017-12-21,2581423,59,,,,,"100,000,000 .. 200,000,000",2770,,100000000.0,200000000.0,141421356.23730987
1129580,Medieval Dynasty,2021-09-23,37753,90,,,,,"1,000,000 .. 2,000,000",1398,"fun They should have named this game tree chopping simulator. Don't let the pictures fool you, there is very little combat despite there being armor and various weapons. If you enjoy snail-like pace games, you'll love this one. You are better off playing any other settlement building game. I really wish I could get a refund for this game. At the end of the day, this game just isn't fun and I feel like a fool playing it as much as I did. Would I recommend this game to others? Heck yea! super jocul cant even change several keybinds, what the hell",1000000.0,2000000.0,1414213.5623730957
1144200,Ready or Not,2023-12-13,215460,77,,,,,"5,000,000 .. 10,000,000",587,"Estou aqui para expressar minha decepção com um ótimo jogo como Ready or Not. Extremamente desapontado com a questão da censura. O que tornava ele um ótimo jogo, era sua realidade. Porém, o game se rendeu a industria decepcionando milhares de fãs. Gostaria de solicitar o reembolso, mesmo que não seja possível. Comprei o jogo com uma proposta, e o jogo depois de um tempo tirou isso dos players. Sendo assim, não recomendo mais o game. Estragaram a diversão Ready or Not WAS a game that I would've recommended, had it not been for the latest update. Most of this game is designed to be gritty and disturbing, but not without merit. It's brutal because it's real, and real life is brutal. If SWAT officers are dispatched, it's because there's an issue beat cops couldn't fix. Things like armed gunmen, whether robbery or active shooters in, say, schools or nightclubs, or weaponsdrugshuman smuggling, and there is value in showcasing something that most games, shows or movies wouldn't. Before Ready or Not's full release, Void left their publisher over the level 'Elephant' which showcases an active shooting within a community college. The publisher said it was too much and Void left them to keep that part of the game. It showed integrity on their part, imagine how many copies could've sold with a publisher bankrolling them. But now that full launch is here and Void can stick the game on PS and Xbox, now they're willing to censor. Now they think some things are too graphic. If that integrity they had when they left their publisher is fully gone, as it seems, then maybe Daddy Sony tells Void that the Nightclub Shooting or School Shooting levels are too intense and controversial. I think Void would rather follow that dollar than show that they still believe in what they started. The worst part about all of this is they, Void, started this conversation. Everybody already knows that these horrors happen, but Ready or Not gave you the front row seat. Void said 'there might be some extravagance but for the most part, this is real.' And everyone was engaging with that conversation, but now that the conversation isn't as profitable to them as it was a month ago, they'd seemingly rather stop talking altogether. And it's not like it would be impossible to keep the graphic content. It could be something that's exclusive to PC or it could be a feature that needs to be toggled on or off before playing. But either of those ideas need something to make happen: Money. And if the Devs are willing to censor the conversation they started for a boost in sales, why would they spend a dime to keep the majority of their playerbase as of now happy? Why listen to the feedback of people who already bought your game, There's a new market now! Above everything its just disappointing to see. A developer that WAS willing to push the boundaries of what you could show in a game tasted the sweet milkies from consoles and abandoned their stance. Devs sold out. Made the game worse in many ways in order to accommodate console player addition, and I'm not even talking about the censorship. Visuals are worse, AI is worse overtuned, needlessly added difficulty system and made enemies cracked out and spongey. So much for realism. Update has caused visualgraphical issues. Long loading times. Worse feeling game play. Questionable AI changes. I am not a fan of difficulty options. The enemy NPCs should act based on their character background. Random crack heads or gang members should not have the same inhuman reactions as those with a military backgroundtraining. Haven't played in awhile, but after seeing the update for consoles, I wanted to leave my opinion. Making the game worse just so that it can turn some more profit is awful... It is extremely greedy, to say the least. It saddens me to see the devs have gone this low after such great work.",5000000.0,10000000.0,7071067.811865473
1174180,Red Dead Redemption 2,2019-12-05,698946,91,,,,,"10,000,000 .. 20,000,000",2056,,10000000.0,20000000.0,14142135.623730922
