game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
730,"100,000,000 .. 200,000,000",31700,791,5577,303,,,0.0,0.0,0.0,1013936,
3405690,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
1174180,"10,000,000 .. 20,000,000",4018,369,1806,119,,,1499.0,5999.0,75.0,29885,
578080,"100,000,000 .. 200,000,000",22733,883,5752,315,,,0.0,0.0,0.0,314682,
227300,"10,000,000 .. 20,000,000",7534,409,1787,137,,,499.0,1999.0,75.0,17281,
1665460,"10,000,000 .. 20,000,000",3096,1132,119,370,,,0.0,0.0,0.0,13404,
381210,"20,000,000 .. 50,000,000",11746,773,1390,429,,,1999.0,1999.0,0.0,44886,
3527290,"0 .. 20,000",504,322,342,196,,,799.0,799.0,0.0,0,
552990,"20,000,000 .. 50,000,000",4152,486,281,90,,,0.0,0.0,0.0,8518,
3504780,"0 .. 20,000",0,0,0,0,,,,,,0,
582660,"5,000,000 .. 10,000,000",5847,1587,248,159,,,999.0,999.0,0.0,14345,
230410,"20,000,000 .. 50,000,000",11610,1179,406,325,,,0.0,0.0,0.0,36195,
2767030,"0 .. 20,000",2564,628,397,345,,,0.0,0.0,0.0,106611,
252490,"20,000,000 .. 50,000,000",21636,1388,3401,539,,,3999.0,3999.0,0.0,143870,
2277560,"0 .. 20,000",0,0,0,0,,,4999.0,4999.0,0.0,0,
2183900,"5,000,000 .. 10,000,000",1980,271,868,118,,,5999.0,5999.0,0.0,6851,
294100,"5,000,000 .. 10,000,000",11847,1121,3431,567,,,2799.0,3499.0,20.0,19211,
2138720,"0 .. 20,000",1536,621,1085,390,,,2999.0,2999.0,0.0,0,
3241660,"10,000,000 .. 20,000,000",975,226,572,127,,,999.0,999.0,0.0,32349,
1086940,"20,000,000 .. 50,000,000",7213,783,4366,326,,,5999.0,5999.0,0.0,54771,
1172470,"100,000,000 .. 200,000,000",9433,703,709,228,,,0.0,0.0,0.0,124262,
570,"100,000,000 .. 200,000,000",44572,1370,937,774,,,0.0,0.0,0.0,623941,
1085660,"20,000,000 .. 50,000,000",11192,1402,423,438,,,0.0,0.0,0.0,24619,
3008130,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
835570,"0 .. 20,000",5000,1497,108,1669,,,,,,8349,
3008130,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
2379740,"0 .. 20,000",13991,942,15341,1161,,,,,,0,
1974050,"0 .. 20,000",2243,617,126,769,,,,,,0,
359550,"20,000,000 .. 50,000,000",15015,506,2638,240,,,1999.0,1999.0,0.0,51847,
3024040,"0 .. 20,000",309,309,204,204,,,1799.0,1999.0,10.0,0,
1129580,"1,000,000 .. 2,000,000",2762,490,1082,659,,,2099.0,3499.0,40.0,1366,
2878980,"1,000,000 .. 2,000,000",5830,670,2917,431,,,979.0,6999.0,86.0,27486,
266410,"500,000 .. 1,000,000",1547,157,173,195,,,999.0,999.0,0.0,354,
1627720,"1,000,000 .. 2,000,000",1680,527,1268,299,,,2999.0,5999.0,50.0,1363,
236390,"20,000,000 .. 50,000,000",9148,879,398,256,,,0.0,0.0,0.0,50478,
1941540,"0 .. 20,000",0,0,0,0,,,4999.0,4999.0,0.0,0,
2669320,"5,000,000 .. 10,000,000",6890,703,2896,335,,,6999.0,6999.0,0.0,42032,
835570,"0 .. 20,000",5000,1497,108,1669,,,,,,8349,
251570,"10,000,000 .. 20,000,000",6000,871,1339,435,,,4499.0,4499.0,0.0,17045,
3022790,"0 .. 20,000",0,0,0,0,,,2499.0,2499.0,0.0,0,
389430,"2,000,000 .. 5,000,000",15394,0,48,0,,,0.0,0.0,0.0,1421,
761890,"2,000,000 .. 5,000,000",5801,1906,156,356,,,0.0,0.0,0.0,8184,
1782460,"0 .. 20,000",0,0,0,0,,,0.0,0.0,0.0,0,
2139460,"0 .. 20,000",2668,975,207,611,,,,,,0,
1272080,"2,000,000 .. 5,000,000",1666,527,738,268,,,899.0,2999.0,70.0,644,
1551360,"5,000,000 .. 10,000,000",3338,321,1192,121,,,5999.0,5999.0,0.0,10009,
1222670,"10,000,000 .. 20,000,000",1731,262,208,116,,,0.0,0.0,0.0,25276,
1903340,"2,000,000 .. 5,000,000",2182,772,1976,497,,,4499.0,4999.0,10.0,27880,
2507950,"0 .. 20,000",2539,1288,254,307,,,,,,0,
431960,"20,000,000 .. 50,000,000",4332,141,1001,10,,,499.0,499.0,0.0,91184,
261550,"10,000,000 .. 20,000,000",8492,693,3972,451,,,4999.0,4999.0,0.0,14477,
1671210,"1,000,000 .. 2,000,000",1153,301,1010,166,,,2499.0,2499.0,0.0,83936,
1222670,"10,000,000 .. 20,000,000",1731,262,208,116,,,0.0,0.0,0.0,25276,
394360,"5,000,000 .. 10,000,000",15723,823,2494,335,,,4999.0,4999.0,0.0,32112,
2507950,"0 .. 20,000",2539,1288,254,307,,,,,,0,
2531310,"500,000 .. 1,000,000",1839,545,1653,563,,,4999.0,4999.0,0.0,4405,
306130,"5,000,000 .. 10,000,000",9135,636,1169,200,,,1999.0,1999.0,0.0,15987,
1144200,"5,000,000 .. 10,000,000",1403,258,692,133,,,4999.0,4999.0,0.0,4296,
2208920,"500,000 .. 1,000,000",2630,423,901,591,,,5999.0,5999.0,0.0,1379,
2161700,"1,000,000 .. 2,000,000",3548,417,3126,138,,,3149.0,6999.0,55.0,1683,
2694490,"20,000,000 .. 50,000,000",6891,204,2672,61,,,2999.0,2999.0,0.0,16727,
284160,"5,000,000 .. 10,000,000",5087,240,629,104,,,1999.0,2499.0,20.0,15863,
668580,"1,000,000 .. 2,000,000",879,352,631,412,,,5999.0,5999.0,0.0,466,
3159330,"0 .. 20,000",2481,886,1942,1064,,,,,,0,
1363080,"2,000,000 .. 5,000,000",1028,204,603,125,,,2599.0,3999.0,35.0,1977,
413150,"20,000,000 .. 50,000,000",4338,580,1504,139,,,1499.0,1499.0,0.0,50662,
2344520,"1,000,000 .. 2,000,000",5793,1166,2879,608,,,4999.0,4999.0,0.0,8835,
223750,"5,000,000 .. 10,000,000",1350,587,32,1111,,,0.0,0.0,0.0,636,
2753900,"0 .. 20,000",198,198,198,198,,,1349.0,1499.0,10.0,0,
2300320,"1,000,000 .. 2,000,000",6020,692,2282,339,,,4999.0,4999.0,0.0,13431,
1091500,"20,000,000 .. 50,000,000",4915,537,3109,141,,,5999.0,5999.0,0.0,22265,
553850,"20,000,000 .. 50,000,000",4516,534,2293,194,,,3999.0,3999.0,0.0,53399,
2692440,"0 .. 20,000",25,7,25,7,,,,,,0,
1943950,"2,000,000 .. 5,000,000",492,199,346,179,,,999.0,999.0,0.0,1756,
2004210,"0 .. 20,000",0,0,0,0,,,1259.0,1799.0,30.0,0,
2692440,"0 .. 20,000",25,7,25,7,,,,,,0,
3183280,"100,000 .. 200,000",530,1000,121,1140,,,0.0,0.0,0.0,2634,
108600,"10,000,000 .. 20,000,000",3719,519,808,167,,,1999.0,1999.0,0.0,22864,
440,"50,000,000 .. 100,000,000",10085,604,375,118,,,0.0,0.0,0.0,43819,
2604420,"0 .. 20,000",0,0,0,0,,,1079.0,1199.0,10.0,0,
2379740,"0 .. 20,000",13991,942,15341,1161,,,,,,0,
1363080,"2,000,000 .. 5,000,000",1028,204,603,125,,,2599.0,3999.0,35.0,1977,
2753900,"0 .. 20,000",198,198,198,198,,,1349.0,1499.0,10.0,0,
1943950,"2,000,000 .. 5,000,000",492,199,346,179,,,999.0,999.0,0.0,1756,
2567870,"2,000,000 .. 5,000,000",295,92,244,59,,,499.0,499.0,0.0,1154,
427410,"500,000 .. 1,000,000",1531,664,812,666,,,3499.0,3499.0,0.0,1458,
1604030,"5,000,000 .. 10,000,000",3369,1128,1452,401,,,1749.0,3499.0,50.0,10961,
244210,"5,000,000 .. 10,000,000",2950,200,307,70,,,1999.0,1999.0,0.0,8961,
1973530,"0 .. 20,000",10436,931,749,555,,,,,,0,
255710,"10,000,000 .. 20,000,000",3409,273,778,125,,,2999.0,2999.0,0.0,8842,
3164500,"10,000,000 .. 20,000,000",1537,360,1123,179,,,1999.0,1999.0,0.0,22757,
3186490,"0 .. 20,000",0,0,0,0,,,3999.0,3999.0,0.0,0,
221100,"10,000,000 .. 20,000,000",14853,1145,2183,462,,,2499.0,4999.0,50.0,37066,
1962663,"0 .. 20,000",0,0,0,0,,,,,,0,
3787460,"0 .. 20,000",0,0,0,0,,,2499.0,2499.0,0.0,0,
242050,"5,000,000 .. 10,000,000",2009,218,1252,82,,,1199.0,3999.0,70.0,923,
1687950,"2,000,000 .. 5,000,000",3548,1390,1938,933,,,2399.0,5999.0,60.0,4994,
1771300,"2,000,000 .. 5,000,000",4375,774,4069,434,,,5999.0,5999.0,0.0,7073,
2778580,"0 .. 20,000",0,0,0,0,,,3999.0,3999.0,0.0,0,
921590,"500,000 .. 1,000,000",470,100,24,100,,,0.0,0.0,0.0,9,
3787460,"0 .. 20,000",0,0,0,0,,,2499.0,2499.0,0.0,0,
3513350,"0 .. 20,000",1425,474,324,312,,,,,,0,
1326470,"10,000,000 .. 20,000,000",1396,486,892,291,,,2999.0,2999.0,0.0,4450,
1687950,"2,000,000 .. 5,000,000",3548,1390,1938,933,,,2399.0,5999.0,60.0,4994,
1771300,"2,000,000 .. 5,000,000",4375,774,4069,434,,,5999.0,5999.0,0.0,7073,
2778580,"0 .. 20,000",0,0,0,0,,,3999.0,3999.0,0.0,0,
1430190,"0 .. 20,000",781,0,781,0,,,3999.0,3999.0,0.0,0,
1874880,"200,000 .. 500,000",3424,904,887,379,,,3999.0,3999.0,0.0,11466,
2252570,"1,000,000 .. 2,000,000",25649,1577,10447,1076,,,5999.0,5999.0,0.0,47931,
921590,"500,000 .. 1,000,000",470,100,24,100,,,0.0,0.0,0.0,9,
2399420,"200,000 .. 500,000",1836,319,1134,451,,,3799.0,3799.0,0.0,984,
1361210,"2,000,000 .. 5,000,000",4904,511,1567,256,,,1599.0,3999.0,60.0,7267,
1407200,"1,000,000 .. 2,000,000",1813,362,62,368,,,0.0,0.0,0.0,3869,
3690010,"0 .. 20,000",107,107,107,107,,,,,,0,
588650,"5,000,000 .. 10,000,000",2085,226,904,100,,,999.0,2499.0,60.0,2559,
242760,"20,000,000 .. 50,000,000",1424,274,796,191,,,1999.0,1999.0,0.0,2892,
1284210,"2,000,000 .. 5,000,000",2696,527,202,591,,,0.0,0.0,0.0,3277,
714210,"0 .. 20,000",1289,1603,244,1603,,,,,,1325,
2138330,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
1274570,"2,000,000 .. 5,000,000",432,87,223,110,,,999.0,999.0,0.0,447,
529340,"1,000,000 .. 2,000,000",6395,823,2759,565,,,4999.0,4999.0,0.0,4609,
812140,"5,000,000 .. 10,000,000",4125,317,2785,366,,,1199.0,5999.0,80.0,2629,
39210,"2,000,000 .. 5,000,000",48302,1236,4863,689,,,1999.0,1999.0,0.0,19824,
236850,"5,000,000 .. 10,000,000",19299,959,1280,475,,,4999.0,4999.0,0.0,12445,
1016920,"1,000,000 .. 2,000,000",468,70,233,60,,,299.0,1999.0,85.0,182,
236850,"5,000,000 .. 10,000,000",19299,959,1280,475,,,4999.0,4999.0,0.0,12445,
1016920,"1,000,000 .. 2,000,000",468,70,233,60,,,299.0,1999.0,85.0,182,
815370,"2,000,000 .. 5,000,000",1280,320,596,337,,,699.0,2799.0,75.0,1656,
1209460,"0 .. 20,000",0,0,0,0,,,719.0,1799.0,60.0,0,
4000,"20,000,000 .. 50,000,000",10423,765,1329,110,,,599.0,999.0,40.0,18400,
291550,"20,000,000 .. 50,000,000",2956,373,190,73,,,0.0,0.0,0.0,14169,
1677280,"1,000,000 .. 2,000,000",3336,233,1525,139,,,2999.0,5999.0,50.0,2183,
550,"50,000,000 .. 100,000,000",2235,313,500,100,,,999.0,999.0,0.0,25122,
1651560,"200,000 .. 500,000",409,73,313,73,,,1049.0,2099.0,50.0,598,
1604270,"0 .. 20,000",2051,972,1378,663,,,4999.0,4999.0,0.0,0,
2399830,"2,000,000 .. 5,000,000",9428,1874,1829,718,,,4499.0,4499.0,0.0,12007,
1599340,"50,000,000 .. 100,000,000",4775,2323,682,1374,,,0.0,0.0,0.0,17355,
1343670,"200,000 .. 500,000",841,0,544,0,,,1499.0,1499.0,0.0,52,
2001120,"2,000,000 .. 5,000,000",799,208,807,139,,,4999.0,4999.0,0.0,5476,
3097560,"2,000,000 .. 5,000,000",258,80,161,51,,,699.0,699.0,0.0,605,
1295660,"1,000,000 .. 2,000,000",2717,293,1237,213,,,6999.0,6999.0,0.0,5931,
