game_id,name,release_date,release_year,total_reviews,positive_percent,developer,publisher,genres,tags,platforms,current_price,discounted_price,discount_percent
730,Counter-Strike 2,"21 Aug, 2012",2012,8894971,86,,,"Action, Free To Play",Action;Free To Play,"Linux, Windows",Free To Play,Free To Play,
3405690,EA SPORTS FC™ 26,"25 Sep, 2025",2025,0,0,,,"Simulation, Sports",Simulation;Sports,Windows,$69.99 USD,$69.99 USD,
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",2017,2578327,59,,,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Windows,Free To Play,Free To Play,
582660,Black Desert,"16 May, 2018",2018,59285,75,,,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Windows,$4.99 USD,$4.99 USD,
227300,Euro Truck Simulator 2,"12 Oct, 2012",2012,667605,97,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$10.09,$2.52 USD,-75%
1174180,Red Dead Redemption 2,"5 Dec, 2019",2019,695988,91,,,"Action, Adventure",Action;Adventure,Windows,$59.99,$14.99 USD,-75%
3024040,Stronghold Crusader: Definitive Edition,"15 Jul, 2025",2025,1070,93,,,"Simulation, Strategy",Simulation;Strategy,Windows,$10.49,$9.44 USD,-10%
1085660,Destiny 2,"1 Oct, 2019",2019,628576,79,,,"Action, Adventure, Free To Play",Action;Adventure;Free To Play,Windows,$40.93 USD,$5.03 USD,-88%
3527290,PEAK,"16 Jun, 2025",2025,48006,93,,,"Action, Adventure, Indie",Action;Adventure;Indie,Windows,$3.99 USD,$3.99 USD,
1172470,Apex Legends™,"4 Nov, 2020",2020,1001117,67,,,"Action, Adventure, Free To Play",Action;Adventure;Free To Play,Windows,Free To Play,Free To Play,
552990,World of Warships,"15 Nov, 2017",2017,147438,76,,,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play",Action;Massively Multiplayer;Simulation;Strategy;Free To Play,Windows,$30.00 USD,$0.00 USD,-100%
381210,Dead by Daylight,"14 Jun, 2016",2016,592456,79,,,,,,Free To Play,Free To Play,
1665460,eFootball™,"29 Sep, 2021",2021,94544,48,,,"Simulation, Sports, Free To Play",Simulation;Sports;Free To Play,Windows,Free To Play,Free To Play,
2138720,REMATCH,"19 Jun, 2025",2025,21984,76,,,"Action, Indie, Sports",Action;Indie;Sports,Windows,$14.99 USD,$14.99 USD,
294100,RimWorld,"17 Oct, 2018",2018,182168,97,,,"Indie, Simulation, Strategy",Indie;Simulation;Strategy,"Linux, Mac, Windows",$17.99,$14.39 USD,-20%
3241660,R.E.P.O.,"26 Feb, 2025",2025,175206,96,,,"Action, Early Access",Action;Early Access,Windows,$5.79 USD,$5.79 USD,
252490,Rust,"8 Feb, 2018",2018,1030532,87,,,"Action, Adventure, Indie, Massively Multiplayer, RPG",Action;Adventure;Indie;Massively Multiplayer;RPG,"Mac, Windows",$54.38 USD,"Your Price:
$39.28 USD",-11%
389430,Knight Online,"25 Jan, 2016",2016,10905,50,,,"Action, Adventure, Free To Play, Massively Multiplayer, RPG",Action;Adventure;Free To Play;Massively Multiplayer;RPG,Windows,Free To Play,Free To Play,
1364780,Street Fighter™ 6,"1 Jun, 2023",2023,36819,84,,,"Action, Adventure",Action;Adventure,Windows,$29.99 USD,$29.99 USD,
1903340,Clair Obscur: Expedition 33,"24 Apr, 2025",2025,95468,95,,,,,,Free To Play,Free To Play,
2767030,Marvel Rivals,"5 Dec, 2024",2024,299651,78,,,"Action, Free To Play",Action;Free To Play,Windows,Free To Play,Free To Play,
3022790,RimWorld - Odyssey,"11 Jul, 2025",2025,1793,95,,,"Indie, Simulation, Strategy",Indie;Simulation;Strategy,"Linux, Mac, Windows",$40.82,$36.22 USD,-11%
346110,ARK: Survival Evolved,"27 Aug, 2017",2017,555056,84,,,"Action, Adventure, Indie, Massively Multiplayer, RPG",Action;Adventure;Indie;Massively Multiplayer;RPG,"Mac, Windows",,"Your Price:
$34.60 USD",
2878980,NBA 2K25,"28 Oct, 2024",2024,26277,59,,,"Simulation, Sports",Simulation;Sports,Windows,$69.99,$9.79 USD,-86%
2404880,Car Dealer Simulator,"29 May, 2025",2025,2305,83,,,"Casual, Indie, Simulation",Casual;Indie;Simulation,Windows,$5.73,$5.15 USD,-10%
1245620,ELDEN RING,"24 Feb, 2022",2022,775858,93,,,,,,Free To Play,Free To Play,
1172710,Dune: Awakening,"10 Jun, 2025",2025,47284,77,,,,,,Free To Play,Free To Play,
3186490,Destiny 2: The Edge of Fate,"15 Jul, 2025",2025,440,51,,,"Action, Adventure, Free To Play",Action;Adventure;Free To Play,Windows,$27.99 USD,$27.99 USD,
2669320,EA SPORTS FC™ 25,"27 Sep, 2024",2024,79665,50,,,"Simulation, Sports",Simulation;Sports,Windows,$69.99 USD,$69.99 USD,
526870,Satisfactory,"10 Sep, 2024",2024,200446,97,,,"Adventure, Indie, Simulation, Strategy",Adventure;Indie;Simulation;Strategy,Windows,$18.99,$13.29 USD,-30%
1304930,The Outlast Trials,"5 Mar, 2024",2024,57655,93,,,"Action, Adventure, Indie",Action;Adventure;Indie,Windows,$18.99,$7.59 USD,-60%
2429640,THRONE AND LIBERTY,"1 Oct, 2024",2024,64291,67,,,,,,Free To Play,Free To Play,
3537070,ARK: Aquatica,"15 Jul, 2025",2025,717,15,,,"Action, Adventure, Indie, Massively Multiplayer, RPG",Action;Adventure;Indie;Massively Multiplayer;RPG,"Mac, Windows",$7.99,$4.79 USD,-40%
570,Dota 2,"9 Jul, 2013",2013,2519452,81,,,"Action, Strategy, Free To Play",Action;Strategy;Free To Play,"Linux, Mac, Windows",Free To Play,Free To Play,
2622380,ELDEN RING NIGHTREIGN,"29 May, 2025",2025,89585,82,,,"Action, RPG",Action;RPG,Windows,$25.99 USD,$25.99 USD,
261550,Mount & Blade II: Bannerlord,"25 Oct, 2022",2022,207343,87,,,"Action, Indie, RPG, Simulation, Strategy",Action;Indie;RPG;Simulation;Strategy,Windows,$19.99 USD,$19.99 USD,
1272080,PAYDAY 3,"21 Sep, 2023",2023,44785,43,,,,,,Free To Play,Free To Play,
236390,War Thunder,"15 Aug, 2013",2013,637879,73,,,"Action, Massively Multiplayer, Simulation, Free To Play",Action;Massively Multiplayer;Simulation;Free To Play,"Linux, Mac, Windows",Free To Play,Free To Play,
270880,American Truck Simulator,"2 Feb, 2016",2016,146639,97,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$10.09,$2.52 USD,-75%
3008130,Dying Light: The Beast,"22 Aug, 2025",2025,0,0,,,"Action, Adventure, RPG",Action;Adventure;RPG,Windows,$44.99 USD,$44.99 USD,
359550,Tom Clancy's Rainbow Six® Siege X,"1 Dec, 2015",2015,1424638,83,,,"Action, Free To Play",Action;Free To Play,Windows,Free To Play,Free To Play,
2604420,Euro Truck Simulator 2 - Greece,"4 Dec, 2024",2024,1109,88,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$6.05,$5.44 USD,-10%
2507950,Delta Force,"4 Dec, 2024",2024,123668,62,,,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Windows,Free To Play,Free To Play,
440,Team Fortress 2,"10 Oct, 2007",2007,1169145,90,,,"Action, Free To Play",Action;Free To Play,"Linux, Windows",Free To Play,Free To Play,
1551360,Forza Horizon 5,"9 Nov, 2021",2021,214036,88,,,"Action, Adventure, Racing, Simulation, Sports",Action;Adventure;Racing;Simulation;Sports,Windows,$32.78 USD,$32.78 USD,
2300320,Farming Simulator 25,"12 Nov, 2024",2024,22872,83,,,Simulation,Simulation,"Mac, Windows",,$44.98 USD,
3159330,Assassin’s Creed Shadows,"19 Mar, 2025",2025,20834,78,,,"Action, Adventure, RPG",Action;Adventure;RPG,Windows,$55.99,$41.99 USD,-25%
2001120,Split Fiction,"6 Mar, 2025",2025,54181,97,,,"Action, Adventure",Action;Adventure,Windows,$49.99 USD,$49.99 USD,
2004210,Euro Truck Simulator 2 - West Balkans,"19 Oct, 2023",2023,1640,84,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$9.08,$6.35 USD,-30%
3164500,Schedule I,"24 Mar, 2025",2025,201457,98,,,"Action, Indie, Simulation, Strategy, Early Access",Action;Indie;Simulation;Strategy;Early Access,Windows,$10.49 USD,$10.49 USD,
3121110,Zort,"7 Dec, 2024",2024,6966,92,,,"Action, Adventure, Indie, Early Access",Action;Adventure;Indie;Early Access,Windows,$2.00,$1.50 USD,-25%
559650,Witch It,"22 Oct, 2020",2020,14099,89,,,"Action, Casual, Indie",Action;Casual;Indie,Windows,$10.49,$1.57 USD,-85%
431960,Wallpaper Engine,"16 Nov, 2018",2018,840368,98,,,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Casual;Indie;Animation & Modeling;Design & Illustration;Photo Editing;Utilities,Windows,$2.99 USD,$2.99 USD,
413150,Stardew Valley,"26 Feb, 2016",2016,774406,98,,,"Indie, RPG, Simulation",Indie;RPG;Simulation,"Linux, Mac, Windows",$5.99 USD,$5.99 USD,
2141730,Backrooms: Escape Together,"18 Oct, 2022",2022,20948,87,,,"Action, Adventure, Casual, Indie, Early Access",Action;Adventure;Casual;Indie;Early Access,Windows,$5.79 USD,$5.79 USD,
306130,The Elder Scrolls® Online,"22 May, 2017",2017,128656,82,,,,,,Free To Play,Free To Play,
108710,Alan Wake,"16 Feb, 2012",2012,36788,90,,,"Action, Adventure",Action;Adventure,Windows,$7.99,$0.79 USD,-90%
230410,Warframe,"25 Mar, 2013",2013,624305,87,,,,,,Free To Play,Free To Play,
108600,Project Zomboid,"8 Nov, 2013",2013,293016,94,,,"Indie, RPG, Simulation, Early Access",Indie;RPG;Simulation;Early Access,"Linux, Mac, Windows",$22.78 USD,$18.77 USD,-18%
1056760,Euro Truck Simulator 2 - Road to the Black Sea,"5 Dec, 2019",2019,3218,86,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$9.08,$3.63 USD,-60%
2377280,Eriksholm: The Stolen Dream,"15 Jul, 2025",2025,71,95,,,"Action, Adventure, Strategy",Action;Adventure;Strategy,Windows,$24.99 USD,$24.99 USD,
2139460,Once Human,"9 Jul, 2024",2024,137872,74,,,"Action, Adventure, RPG, Simulation, Strategy, Free To Play",Action;Adventure;RPG;Simulation;Strategy;Free To Play,Windows,Free To Play,Free To Play,
2344520,Diablo® IV,"7 Oct, 2024",2024,38140,70,,,,,,Free To Play,Free To Play,
3410470,Street Fighter™ 6 - Year 3 Ultimate Pass,"15 Jul, 2025",2025,14,85,,,"Action, Adventure",Action;Adventure,Windows,$37.49 USD,$37.49 USD,
1671210,DELTARUNE,"4 Jun, 2025",2025,54629,98,,,"Indie, RPG",Indie;RPG,"Mac, Windows",$12.49 USD,$12.49 USD,
394360,Hearts of Iron IV,"9 Apr, 2024",2024,241155,91,,,"Simulation, Strategy",Simulation;Strategy,"Linux, Mac, Windows",$29.99 USD,$29.99 USD,
3059520,F1® 25,"30 May, 2025",2025,4566,87,,,"Racing, Simulation, Sports",Racing;Simulation;Sports,Windows,$59.99 USD,$59.99 USD,
2531310,The Last of Us™ Part II Remastered,"3 Apr, 2025",2025,17604,90,,,,,,Free To Play,Free To Play,
1086940,Baldur's Gate 3,"3 Aug, 2023",2023,678947,96,,,,,,Free To Play,Free To Play,
