game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
730,"100,000,000 .. 200,000,000",31319,803,5388,349,,,0.0,0.0,0.0,1013936,
578080,"100,000,000 .. 200,000,000",23283,706,5894,344,,,0.0,0.0,0.0,314682,
381210,"20,000,000 .. 50,000,000",10685,665,1265,235,,,799.0,1999.0,60.0,44886,
2138720,"0 .. 20,000",296,296,278,278,,,2999.0,2999.0,0.0,0,
1771300,"2,000,000 .. 5,000,000",3949,507,3429,271,,,4799.0,5999.0,20.0,7073,
1172710,"0 .. 20,000",1891,1891,1259,1259,,,4999.0,4999.0,0.0,0,
529340,"1,000,000 .. 2,000,000",7403,511,2184,362,,,1499.0,4999.0,70.0,4609,
3796620,"0 .. 20,000",0,0,0,0,,,499.0,499.0,0.0,0,
2669320,"5,000,000 .. 10,000,000",6420,626,3291,340,,,6999.0,6999.0,0.0,42032,
1665460,"10,000,000 .. 20,000,000",3238,568,127,518,,,0.0,0.0,0.0,13404,
1601570,"0 .. 20,000",463,468,466,467,,,3149.0,3499.0,10.0,0,
2622380,"2,000,000 .. 5,000,000",1782,1382,1488,1136,,,3999.0,3999.0,0.0,163599,
2050650,"5,000,000 .. 10,000,000",2305,374,1534,189,,,1999.0,3999.0,50.0,3748,
3241660,"10,000,000 .. 20,000,000",955,228,540,133,,,999.0,999.0,0.0,32349,
359550,"20,000,000 .. 50,000,000",14789,446,2690,176,,,1999.0,1999.0,0.0,51847,
534380,"5,000,000 .. 10,000,000",2591,364,1752,179,,,1979.0,5999.0,67.0,4223,
1604270,"0 .. 20,000",220,220,212,212,,,4999.0,4999.0,0.0,0,
252490,"20,000,000 .. 50,000,000",22156,1180,2900,475,,,3999.0,3999.0,0.0,143870,
227300,"10,000,000 .. 20,000,000",7075,342,1794,122,,,1999.0,1999.0,0.0,17281,
3527290,"0 .. 20,000",129,129,119,119,,,495.0,799.0,38.0,0,
1868140,"5,000,000 .. 10,000,000",1400,334,899,147,,,1199.0,1999.0,40.0,3367,
2124490,"500,000 .. 1,000,000",921,251,756,163,,,4199.0,6999.0,40.0,514,
570,"100,000,000 .. 200,000,000",40642,1255,879,786,,,0.0,0.0,0.0,623941,
3450170,"0 .. 20,000",0,0,0,0,,,1999.0,1999.0,0.0,0,
418370,"2,000,000 .. 5,000,000",898,73,541,81,,,799.0,1999.0,60.0,792,
2429640,"0 .. 20,000",3442,1304,244,618,,,,,,0,
239140,"10,000,000 .. 20,000,000",2335,321,1171,144,,,399.0,1999.0,80.0,4953,
3008130,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
3513350,"0 .. 20,000",1313,780,582,475,,,,,,0,
1172470,"100,000,000 .. 200,000,000",9169,586,716,238,,,0.0,0.0,0.0,124262,
552990,"20,000,000 .. 50,000,000",3636,224,264,113,,,0.0,0.0,0.0,8518,
244210,"5,000,000 .. 10,000,000",2699,169,276,105,,,499.0,1999.0,75.0,8961,
1196590,"2,000,000 .. 5,000,000",1204,259,915,164,,,999.0,3999.0,75.0,1284,
236390,"20,000,000 .. 50,000,000",9114,809,405,276,,,0.0,0.0,0.0,50478,
2878980,"1,000,000 .. 2,000,000",5872,808,2901,488,,,1599.0,7999.0,80.0,27486,
3164500,"10,000,000 .. 20,000,000",1477,349,1122,70,,,1999.0,1999.0,0.0,22757,
2272540,"0 .. 20,000",0,0,0,0,,,,,,0,
530611,"0 .. 20,000",0,0,0,0,,,374.0,1499.0,75.0,0,
2943650,"0 .. 20,000",571,375,166,160,,,,,,0,
3483740,"0 .. 20,000",578,578,866,866,,,1199.0,1499.0,20.0,0,
261550,"10,000,000 .. 20,000,000",8444,688,4501,285,,,4999.0,4999.0,0.0,14477,
582660,"5,000,000 .. 10,000,000",6883,7584,284,6727,,,999.0,999.0,0.0,14345,
513710,"5,000,000 .. 10,000,000",5770,721,853,415,,,3999.0,3999.0,0.0,8535,
2625420,"100,000 .. 200,000",1011,241,698,192,,,2499.0,2499.0,0.0,3366,
3489700,"0 .. 20,000",776,776,693,693,,,5999.0,5999.0,0.0,0,
1671210,"1,000,000 .. 2,000,000",879,879,794,794,,,2499.0,2499.0,0.0,83936,
266410,"500,000 .. 1,000,000",5003,713,161,1375,,,999.0,999.0,0.0,354,
389430,"2,000,000 .. 5,000,000",2643,11,20,18,,,0.0,0.0,0.0,1421,
3013840,"0 .. 20,000",0,0,0,0,,,50000.0,50000.0,0.0,0,
444200,"10,000,000 .. 20,000,000",10867,198,197,77,,,0.0,0.0,0.0,5707,
553850,"20,000,000 .. 50,000,000",3900,526,2088,199,,,3999.0,3999.0,0.0,53399,
1850570,"1,000,000 .. 2,000,000",1518,499,534,204,,,1599.0,3999.0,60.0,1604,
3183280,"100,000 .. 200,000",729,734,80,329,,,0.0,0.0,0.0,2634,
306130,"5,000,000 .. 10,000,000",9291,1891,1152,772,,,1999.0,1999.0,0.0,15987,
2584990,"0 .. 20,000",54,54,57,57,,,0.0,0.0,0.0,0,
1547000,"500,000 .. 1,000,000",1502,494,743,618,,,2399.0,5999.0,60.0,330,
601150,"5,000,000 .. 10,000,000",1081,194,519,153,,,749.0,2999.0,75.0,2248,
2767030,"0 .. 20,000",2459,622,383,298,,,0.0,0.0,0.0,106611,
1285190,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
1245620,"20,000,000 .. 50,000,000",7914,452,6025,129,,,5999.0,5999.0,0.0,29529,
107410,"10,000,000 .. 20,000,000",12809,435,1053,361,,,479.0,2999.0,84.0,7181,
431960,"20,000,000 .. 50,000,000",4597,120,949,9,,,499.0,499.0,0.0,91184,
2073850,"0 .. 20,000",1250,391,237,188,,,,,,0,
3717470,"0 .. 20,000",0,0,0,0,,,9999.0,9999.0,0.0,0,
1650010,"50,000 .. 100,000",2528,107,879,108,,,1199.0,5999.0,80.0,148,
1114150,"200,000 .. 500,000",1188,148,775,129,,,1999.0,1999.0,0.0,499,
230410,"20,000,000 .. 50,000,000",10629,1048,408,148,,,0.0,0.0,0.0,36195,
2252570,"1,000,000 .. 2,000,000",28910,2069,12575,1200,,,5999.0,5999.0,0.0,47931,
1962663,"0 .. 20,000",0,0,0,0,,,,,,0,
12210,"5,000,000 .. 10,000,000",2352,74,597,105,,,599.0,1999.0,70.0,2122,
1943950,"2,000,000 .. 5,000,000",522,161,362,148,,,999.0,999.0,0.0,1756,
238960,"20,000,000 .. 50,000,000",11343,1336,463,1043,,,0.0,0.0,0.0,4694,
1562430,"1,000,000 .. 2,000,000",685,138,555,214,,,1249.0,2499.0,50.0,517,
2668510,"200,000 .. 500,000",903,134,378,215,,,4999.0,4999.0,0.0,504,
1158310,"2,000,000 .. 5,000,000",8679,791,2162,269,,,4999.0,4999.0,0.0,14302,
394360,"5,000,000 .. 10,000,000",17497,586,3167,298,,,4999.0,4999.0,0.0,32112,
518790,"5,000,000 .. 10,000,000",1598,220,405,138,,,1999.0,1999.0,0.0,2207,
2215390,"0 .. 20,000",435,435,612,612,,,3999.0,3999.0,0.0,0,
3240220,"5,000,000 .. 10,000,000",1093,578,210,150,,,1499.0,2999.0,50.0,39502,
214950,"2,000,000 .. 5,000,000",7254,948,2471,1072,,,1499.0,5999.0,75.0,3901,
1937780,"200,000 .. 500,000",577,284,419,493,,,999.0,3999.0,75.0,38,
779340,"5,000,000 .. 10,000,000",6608,1340,2268,962,,,1499.0,5999.0,75.0,4507,
1903340,"2,000,000 .. 5,000,000",2241,729,1979,399,,,4999.0,4999.0,0.0,27880,
1086940,"20,000,000 .. 50,000,000",7215,766,4701,350,,,5999.0,5999.0,0.0,54771,
2694490,"20,000,000 .. 50,000,000",6589,739,3070,250,,,2999.0,2999.0,0.0,16727,
1274570,"2,000,000 .. 5,000,000",411,78,230,87,,,999.0,999.0,0.0,447,
2399830,"2,000,000 .. 5,000,000",8736,1166,2256,571,,,2249.0,4499.0,50.0,12007,
805550,"1,000,000 .. 2,000,000",2881,283,459,252,,,999.0,3999.0,75.0,1479,
2141730,"500,000 .. 1,000,000",274,77,218,96,,,999.0,999.0,0.0,569,
1174180,"10,000,000 .. 20,000,000",4028,486,1746,130,,,5999.0,5999.0,0.0,29885,
835570,"0 .. 20,000",5020,1296,126,1785,,,,,,8349,
1145350,"2,000,000 .. 5,000,000",1587,153,993,88,,,2999.0,2999.0,0.0,1838,
438100,"20,000,000 .. 50,000,000",3962,829,112,353,,,0.0,0.0,0.0,34699,
236850,"5,000,000 .. 10,000,000",19948,885,1341,722,,,4999.0,4999.0,0.0,12445,
2737070,"0 .. 20,000",0,0,0,0,,,,,,0,
413150,"20,000,000 .. 50,000,000",4928,664,1714,199,,,1499.0,1499.0,0.0,50662,
477160,"10,000,000 .. 20,000,000",768,84,369,57,,,599.0,1999.0,70.0,950,
2131680,"20,000 .. 50,000",128,0,150,0,,,999.0,1999.0,50.0,14,
468920,"500,000 .. 1,000,000",548,26,181,26,,,199.0,1999.0,90.0,37,
1063730,"50,000,000 .. 100,000,000",9483,820,3967,1483,,,5999.0,5999.0,0.0,5583,
3059520,"100,000 .. 200,000",1085,564,990,485,,,5999.0,5999.0,0.0,5272,
1063730,"50,000,000 .. 100,000,000",9483,820,3967,1483,,,5999.0,5999.0,0.0,5583,
322330,"10,000,000 .. 20,000,000",2735,370,533,85,,,509.0,1499.0,66.0,30542,
883710,"5,000,000 .. 10,000,000",1208,485,711,185,,,999.0,3999.0,75.0,1123,
2531310,"500,000 .. 1,000,000",1593,298,1532,275,,,4999.0,4999.0,0.0,4405,
242760,"20,000,000 .. 50,000,000",1497,172,789,162,,,1999.0,1999.0,0.0,2892,
2456740,"1,000,000 .. 2,000,000",650,79,368,50,,,3599.0,3999.0,10.0,1039,
1874880,"200,000 .. 500,000",4146,693,912,314,,,3999.0,3999.0,0.0,11466,
1659040,"2,000,000 .. 5,000,000",1220,320,481,137,,,599.0,2999.0,80.0,2637,
3533100,"0 .. 20,000",305,288,416,397,,,,,,0,
1881700,"500,000 .. 1,000,000",671,0,73,0,,,0.0,0.0,0.0,451,
2947440,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
2133520,"0 .. 20,000",0,0,0,0,,,,,,0,
1326470,"10,000,000 .. 20,000,000",1415,339,887,253,,,2999.0,2999.0,0.0,4450,
2567870,"2,000,000 .. 5,000,000",291,97,237,75,,,499.0,499.0,0.0,1154,
287700,"2,000,000 .. 5,000,000",3223,302,1291,382,,,799.0,1999.0,60.0,1333,
3596770,"0 .. 20,000",0,0,0,0,,,999.0,999.0,0.0,0,
548430,"5,000,000 .. 10,000,000",3474,408,841,134,,,989.0,2999.0,67.0,5216,
1222670,"10,000,000 .. 20,000,000",1391,317,266,182,,,0.0,0.0,0.0,25276,
1966720,"10,000,000 .. 20,000,000",1412,188,696,117,,,999.0,999.0,0.0,6199,
1172620,"5,000,000 .. 10,000,000",3431,395,1098,210,,,3999.0,3999.0,0.0,5437,
440,"50,000,000 .. 100,000,000",9505,658,347,167,,,0.0,0.0,0.0,43819,
761890,"2,000,000 .. 5,000,000",5373,738,153,422,,,0.0,0.0,0.0,8184,
251570,"10,000,000 .. 20,000,000",6124,426,1506,239,,,4499.0,4499.0,0.0,17045,
815370,"2,000,000 .. 5,000,000",1234,465,546,252,,,624.0,2499.0,75.0,1656,
2531310,"500,000 .. 1,000,000",1593,298,1532,275,,,4999.0,4999.0,0.0,4405,
952060,"2,000,000 .. 5,000,000",692,111,471,159,,,999.0,3999.0,75.0,362,
2074920,"0 .. 20,000",2189,1143,252,123,,,0.0,0.0,0.0,0,
2404880,"100,000 .. 200,000",827,804,836,771,,,1999.0,1999.0,0.0,3296,
3337140,"0 .. 20,000",0,0,0,0,,,,,,0,
371970,"500,000 .. 1,000,000",1052,308,332,181,,,999.0,1999.0,50.0,390,
648800,"10,000,000 .. 20,000,000",1658,529,912,298,,,1999.0,1999.0,0.0,4701,
3570290,"0 .. 20,000",0,0,0,0,,,1019.0,1199.0,15.0,0,
2066020,"500,000 .. 1,000,000",2245,295,1179,293,,,974.0,1499.0,35.0,674,
2300320,"1,000,000 .. 2,000,000",5903,834,2675,330,,,4999.0,4999.0,0.0,13431,
813780,"2,000,000 .. 5,000,000",6141,570,836,295,,,3499.0,3499.0,0.0,13465,
1190000,"1,000,000 .. 2,000,000",2319,388,840,457,,,2499.0,2499.0,0.0,1343,
1466860,"2,000,000 .. 5,000,000",4624,737,1319,368,,,3999.0,3999.0,0.0,7084,
3174190,"0 .. 20,000",0,0,0,0,,,16999.0,16999.0,0.0,0,
291550,"20,000,000 .. 50,000,000",2964,332,209,90,,,0.0,0.0,0.0,14169,
255710,"10,000,000 .. 20,000,000",3665,279,820,63,,,2999.0,2999.0,0.0,8842,
2778580,"0 .. 20,000",0,0,0,0,,,3999.0,3999.0,0.0,0,
2104890,"200,000 .. 500,000",1427,772,778,506,,,3999.0,3999.0,0.0,8156,
325610,"2,000,000 .. 5,000,000",5031,593,1691,755,,,899.0,4499.0,80.0,1422,
1119730,"1,000,000 .. 2,000,000",1005,447,387,504,,,2499.0,2499.0,0.0,1488,
714210,"0 .. 20,000",997,0,313,0,,,,,,1325,
2918150,"200,000 .. 500,000",39,0,31,0,,,0.0,0.0,0.0,1469,
2054970,"2,000,000 .. 5,000,000",2162,548,1666,533,,,2939.0,6999.0,58.0,768,
1599340,"50,000,000 .. 100,000,000",5043,2138,790,2466,,,0.0,0.0,0.0,17355,
2358720,"50,000,000 .. 100,000,000",3226,364,2836,120,,,5999.0,5999.0,0.0,15004,
2531310,"500,000 .. 1,000,000",1593,298,1532,275,,,4999.0,4999.0,0.0,4405,
3244010,"0 .. 20,000",0,0,0,0,,,3999.0,3999.0,0.0,0,
1321450,"100,000 .. 200,000",301,0,383,0,,,319.0,1999.0,84.0,1,
1085660,"20,000,000 .. 50,000,000",11207,793,393,319,,,0.0,0.0,0.0,24619,
264710,"5,000,000 .. 10,000,000",1949,171,1043,212,,,2009.0,2999.0,33.0,2719,
2507950,"0 .. 20,000",2084,978,217,403,,,,,,0,
457140,"2,000,000 .. 5,000,000",4124,283,846,98,,,749.0,2499.0,70.0,7545,
427520,"5,000,000 .. 10,000,000",11761,656,3482,315,,,3500.0,3500.0,0.0,16426,
1284210,"2,000,000 .. 5,000,000",1572,467,210,611,,,0.0,0.0,0.0,3277,
1677280,"1,000,000 .. 2,000,000",5034,522,1552,705,,,2999.0,5999.0,50.0,2183,
1091500,"20,000,000 .. 50,000,000",5197,451,3383,193,,,5999.0,5999.0,0.0,22265,
1364780,"2,000,000 .. 5,000,000",6144,743,1434,491,,,3999.0,3999.0,0.0,14920,
631510,"1,000,000 .. 2,000,000",911,102,311,107,,,989.0,2999.0,67.0,675,
108600,"10,000,000 .. 20,000,000",4220,797,858,279,,,1999.0,1999.0,0.0,22864,
3263320,"100,000 .. 200,000",132,45,119,72,,,499.0,499.0,0.0,83,
949230,"2,000,000 .. 5,000,000",3882,380,1640,274,,,4999.0,4999.0,0.0,5392,
2102730,"0 .. 20,000",0,0,0,0,,,1199.0,1199.0,0.0,0,
2201320,"0 .. 20,000",0,0,0,0,,,2699.0,2999.0,10.0,0,
2772750,"500,000 .. 1,000,000",1514,238,1200,341,,,659.0,999.0,34.0,481,
880940,"2,000,000 .. 5,000,000",693,167,411,118,,,1499.0,1499.0,0.0,1096,
767560,"5,000,000 .. 10,000,000",4025,107,60,121,,,0.0,0.0,0.0,1280,
2248760,"200,000 .. 500,000",638,158,491,158,,,1624.0,2499.0,35.0,220,
4700,"1,000,000 .. 2,000,000",3411,806,359,890,,,499.0,2499.0,80.0,2814,
756800,"500,000 .. 1,000,000",641,117,456,121,,,2999.0,2999.0,0.0,429,
1151340,"2,000,000 .. 5,000,000",5133,1231,709,765,,,3999.0,3999.0,0.0,8796,
2001120,"2,000,000 .. 5,000,000",790,203,789,128,,,4999.0,4999.0,0.0,5476,
412020,"2,000,000 .. 5,000,000",1145,139,591,214,,,2999.0,2999.0,0.0,702,
686810,"2,000,000 .. 5,000,000",5923,497,1044,202,,,2499.0,4999.0,50.0,3380,
235460,"2,000,000 .. 5,000,000",1034,100,485,120,,,1199.0,2999.0,60.0,242,
2604420,"0 .. 20,000",0,0,0,0,,,1199.0,1199.0,0.0,0,
2004210,"0 .. 20,000",0,0,0,0,,,1799.0,1799.0,0.0,0,
2780980,"1,000,000 .. 2,000,000",836,141,312,209,,,999.0,999.0,0.0,411,
3103150,"0 .. 20,000",0,0,0,0,,,799.0,799.0,0.0,0,
3059070,"200,000 .. 500,000",266,157,181,206,,,799.0,799.0,0.0,169,
201270,"2,000,000 .. 5,000,000",0,0,0,0,,,749.0,2999.0,75.0,0,
3097560,"2,000,000 .. 5,000,000",225,70,149,75,,,699.0,699.0,0.0,605,
393380,"2,000,000 .. 5,000,000",4971,506,790,157,,,4999.0,4999.0,0.0,9116,
1136380,"50,000 .. 100,000",303,163,157,163,,,1999.0,1999.0,0.0,22,
335240,"2,000,000 .. 5,000,000",778,46,44,64,,,0.0,0.0,0.0,1284,
812140,"5,000,000 .. 10,000,000",4209,495,2475,253,,,1199.0,5999.0,80.0,2629,
1286830,"5,000,000 .. 10,000,000",3055,373,339,80,,,0.0,0.0,0.0,6625,
1144200,"5,000,000 .. 10,000,000",1336,197,679,121,,,4999.0,4999.0,0.0,4296,
2294660,"200,000 .. 500,000",443,343,172,343,,,1999.0,1999.0,0.0,669,
2417610,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
1466060,"200,000 .. 500,000",2951,1023,769,1004,,,4499.0,4499.0,0.0,8175,
284160,"5,000,000 .. 10,000,000",5063,288,648,91,,,2499.0,2499.0,0.0,15863,
2183900,"5,000,000 .. 10,000,000",1963,343,955,230,,,5999.0,5999.0,0.0,6851,
466560,"2,000,000 .. 5,000,000",2733,512,552,403,,,599.0,2999.0,80.0,1164,
