game_id,title,release_date,developer,publisher,base_price
3689920,Work Wrecker,2025-05-26,,,
3190840,Aggi's Tiny Friends,2025-05-26,,,
2863040,Echoes of the Sun,2025-05-26,,,
3597480,HOMESICKNESS,2025-05-26,,,
3462150,Turret Baffler,2025-05-26,,,
3622010,Putt Down Demo,2025-05-26,,,
3669640,Bound by Bones Demo,2025-05-26,,,
3698470,Simulacro,2025-05-26,,,
3547920,The Dark Delivers Demo,2025-05-26,,,
3684920,Z Mission Breakout,2025-05-26,,,
2890980,Sector Unknown - Prologue,2025-05-26,,,
3698700,Case Sealed,2025-05-26,,,
3679630,PAYDAY 3: Party Powder Heist,2025-05-26,,,
3112550,The Legacy Demo,2025-05-26,,,
3399850,The Corruption,2025-05-26,,,
3720670,Apex Ascent,2025-05-26,,,
3669370,Dead Oil Demo,2025-05-26,,,
3697930,Drop Duchy Soundtrack,2025-05-26,,,
3631850,Kyoto Anomaly,2025-05-26,,,
3707090,"They Sold Me a Perfect Mother, But She's Not What She Seems",2025-05-26,,,
3751840,Torrent Empire Demo,2025-05-26,,,
3660190,Vampiress: Eternal Duet - Demo,2025-05-26,,,
3709980,AI Math Dash,2025-05-26,,,
3604960,Legacy of Shadows 影の遺産,2025-05-26,,,
3745660,Heroes Against Time Demo,2025-05-26,,,
3418810,Marmot Fight Club,2025-05-26,,,
3564910,FYR: The Lost Island Demo,2025-05-26,,,
3472400,PHASE ZERO Demo,2025-05-26,,,
3639630,Sticky Business: Book of Shadows,2025-05-26,,,
3156440,SANDRAIL RACE Demo,2025-05-26,,,
3503280,Idle Farm tycoon,2025-05-26,,,
3634480,One King Is Enough Demo,2025-05-26,,,
3617580,Shopkeeper Simulator Demo,2025-05-26,,,
3672060,Zombeo and Vampiret Demo,2025-05-26,,,
3620680,Catastrophic Inversion,2025-05-26,,,
3430820,Frosty Enterprise Demo,2025-05-26,,,
3749290,Empire in Decay Demo,2025-05-26,,,
3722070,Night Patrol,2025-05-26,,,
3755080,Times of Survival Demo,2025-05-26,,,
3506550,SINGOU BREAKA シンゴウブレイカ Demo,2025-05-26,,,
2835250,UFO BLAST,2025-05-26,,,
3713300,Sporeborne,2025-05-26,,,
3711060,Tails of the North,2025-05-26,,,
3713490,MoonLight,2025-05-26,,,
3522480,Trucky McTruckface,2025-05-26,,,
3173740,Ghost Frequency,2025-05-26,,,
3304220,Emily's Bizarre Dreams,2025-05-26,,,
3640190,Arcane Path Demo,2025-05-26,,,
3699090,Bubble Ghost Remake - Comic Book,2025-05-26,,,
3698950,Bubble Ghost Remake Soundtrack,2025-05-26,,,
3749420,Hop to It! Demo,2025-05-26,,,
3726430,Danger in Pompeii Demo,2025-05-26,,,
3750100,Dimensional Fold Demo,2025-05-26,,,
3731540,Trainz Plus DLC - BNSF C44-9W 4772-4877 H3,2025-05-26,,,
3731520,Trainz 2022 DLC - BNSF C44-9W 4772-4877 H3,2025-05-26,,,
3611720,Sixtar Gate: STARGAZER Demo,2025-05-26,,,
3502900,Sani Yang's Laboratory Demo,2025-05-26,,,
3753150,Drag'N Dungeon Demo,2025-05-26,,,
