game_id,name,release_date,total_reviews,positive_percent
3707260,theBOLL Demo,"3 Jun, 2025",,
3699170,Fallout 76: Atomic Angler Bundle,"3 Jun, 2025",,
3751100,Stickforge Demo,"3 Jun, 2025",,
3618020,Lullapops Sail Race,"3 Jun, 2025",,
3251470,Fantasy Kommander: Fascination of Evil,"3 Jun, 2025",,
3329630,Cosmic Miners Demo,"3 Jun, 2025",,
3772290,FIND ALL - Coloring Book,"3 Jun, 2025",,
3772280,FIND ALL - Extra Level,"3 Jun, 2025",,
3543810,Super Jigsaw Puzzle: Generations - Cars 2,"3 Jun, 2025",,
3534220,Bojan Demo,"3 Jun, 2025",,
3750130,Montabi Demo,"3 Jun, 2025",,
3249900,Bloxpath,"3 Jun, 2025",,
3693690,Rise of Industry 2 Soundtrack,"3 Jun, 2025",,
3751110,Rise of Industry 2: Artbook,"3 Jun, 2025",,
3698220,Rise of Industry 2: Deluxe Edition Upgrade,"3 Jun, 2025",,
2532490,Rise of Industry 2,"3 Jun, 2025",,
1536620,Galactic Glitch,"3 Jun, 2025",217.0,91.0
3787920,Livber: Smoke and Mirros Demo,"3 Jun, 2025",,
3685140,Siralim Ultimate Chiptune Soundtrack,"3 Jun, 2025",,
3788580,Stream Defense Protocol - Guided Missiles,"3 Jun, 2025",,
3791240,Stream Defense Protocol - Circle of Nations,"3 Jun, 2025",,
3433290,Ruyn HD,"3 Jun, 2025",,
2722730,Desktank,"3 Jun, 2025",,
3719000,,,,
3686310,Snapaul 2 : Anomalies Demo,"3 Jun, 2025",,
3640480,Boardwalk Builders Demo,"3 Jun, 2025",,
3090620,Arcade Galaxy Demo,"3 Jun, 2025",,
3395330,MechAnimals Demo,"3 Jun, 2025",,
3775640,Gem Miner TD Demo,"3 Jun, 2025",,
3025590,TRON: Catalyst Demo,"3 Jun, 2025",,
3694530,Relic Digger,"3 Jun, 2025",,
3778520,100% Plasma Vitae Soundtrack,"3 Jun, 2025",,
3708270,Moduwar - Supporter Pack,"3 Jun, 2025",,
3664530,Pyramis,"3 Jun, 2025",,
3664460,Decide 4 God Original Soundtrack,"3 Jun, 2025",,
1728290,Decide 4 God,"3 Jun, 2025",,
923100,Moduwar,"3 Jun, 2025",,
2709530,Mechanical Lab,"3 Jun, 2025",,
3453950,Farming Simulator 25 - Plains & Prairies Pack,"3 Jun, 2025",,
3047130,Atomfall: Basic Supply Bundle,"3 Jun, 2025",,
3672200,Archons - Soundtrack,"3 Jun, 2025",,
3047140,Atomfall: Story Expansion Pack Wicked Isle,"3 Jun, 2025",,
3660180,PayGame Demo,"3 Jun, 2025",,
3728080,UNI-CODE,"3 Jun, 2025",,
3747580,Underground Racer,"3 Jun, 2025",,
3742940,,,,
2437670,Dagger Directive,"3 Jun, 2025",15.0,80.0
3713640,Delve Down Under Demo,"3 Jun, 2025",,
3670510,Protect The Hangar : From Zombies,"3 Jun, 2025",,
3731610,Mini Cozy Room : Lo-Fi - Ambient Pack,"3 Jun, 2025",,
