game_id,name,release_date,total_reviews,positive_percent
730,Counter-Strike 2,"21 Aug, 2012",8814885,86
2622380,ELDEN RING NIGHTREIGN,"29 May, 2025",44334,74
2625420,Drive Beyond Horizons,"24 Mar, 2025",6075,80
381210,Dead by Daylight,"14 Jun, 2016",579578,79
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",2557201,59
3059520,F1® 25,"30 May, 2025",1813,88
252490,Rust,"8 Feb, 2018",1019578,87
2933620,Call of Duty®: Black Ops 6,"24 Oct, 2024",11870,45
306130,The Elder Scrolls® Online,"22 May, 2017",127822,82
2221490,Tom Clancy’s The Division® 2,"12 Jan, 2023",20082,77
2623190,The Elder Scrolls IV: Oblivion Remastered,"22 Apr, 2025",45412,81
553850,HELLDIVERS™ 2,"8 Feb, 2024",740605,77
2669320,EA SPORTS FC™ 25,"26 Sep, 2024",68558,49
2183900,"Warhammer 40,000: Space Marine 2","9 Sep, 2024",118848,83
570,Dota 2,"9 Jul, 2013",2499904,81
2479810,Gray Zone Warfare,"30 Apr, 2024",54229,67
359550,Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",1189935,84
534380,Dying Light 2 Stay Human: Reloaded Edition,"3 Feb, 2022",145820,79
1172470,Apex Legends™,"4 Nov, 2020",994764,67
2404880,Car Dealer Simulator,"29 May, 2025",661,78
2000950,Call of Duty®: Modern Warfare®,"8 Mar, 2023",19875,79
552990,World of Warships,"15 Nov, 2017",146518,77
2104890,RoadCraft,"20 May, 2025",6263,73
582660,Black Desert,"16 May, 2018",58959,75
1665460,eFootball™,"29 Sep, 2021",92255,47
2344520,Diablo® IV,"7 Oct, 2024",36380,71
1551360,Forza Horizon 5,"8 Nov, 2021",207336,88
389430,Knight Online,"25 Jan, 2016",10884,50
1938090,Call of Duty®,"27 Oct, 2022",714297,58
668580,Atomic Heart,"20 Feb, 2023",28960,82
3183280,Game of Thrones: Kingsroad,"21 May, 2025",3485,61
1119730,"Ranch Simulator: Build, Hunt, Farm","3 Nov, 2023",29929,80
