game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
730,"100,000,000 .. 200,000,000",31758,720,5422,312,,,0.0,0.0,0.0,1013936,
1551360,"5,000,000 .. 10,000,000",3762,209,1450,91,,,2999.0,5999.0,50.0,10009,
1172710,"0 .. 20,000",639,639,539,539,,,4999.0,4999.0,0.0,0,
2622380,"2,000,000 .. 5,000,000",1246,1246,1052,1052,,,3999.0,3999.0,0.0,163599,
2050650,"5,000,000 .. 10,000,000",2387,221,1643,146,,,1999.0,3999.0,50.0,3748,
1627720,"1,000,000 .. 2,000,000",1549,182,1306,171,,,2999.0,5999.0,50.0,1363,
2138720,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
3489700,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
346110,"20,000,000 .. 50,000,000",9922,1211,910,658,,,449.0,1499.0,70.0,22170,
1665460,"10,000,000 .. 20,000,000",2250,343,112,211,,,0.0,0.0,0.0,13404,
534380,"5,000,000 .. 10,000,000",2667,268,1928,124,,,1979.0,5999.0,67.0,4223,
3241660,"10,000,000 .. 20,000,000",921,261,546,141,,,999.0,999.0,0.0,32349,
578080,"100,000,000 .. 200,000,000",22395,663,5476,312,,,0.0,0.0,0.0,314682,
381210,"20,000,000 .. 50,000,000",11597,684,1336,181,,,1999.0,1999.0,0.0,44886,
1196590,"2,000,000 .. 5,000,000",1295,116,968,89,,,999.0,3999.0,75.0,1284,
418370,"2,000,000 .. 5,000,000",1053,146,545,125,,,799.0,1999.0,60.0,792,
1671210,"1,000,000 .. 2,000,000",570,570,518,518,,,2499.0,2499.0,0.0,83936,
3008130,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
2669320,"5,000,000 .. 10,000,000",6858,820,2782,598,,,6999.0,6999.0,0.0,42032,
227300,"10,000,000 .. 20,000,000",6387,280,1611,132,,,1999.0,1999.0,0.0,17281,
252490,"20,000,000 .. 50,000,000",21004,1073,3200,445,,,3999.0,3999.0,0.0,143870,
2625420,"100,000 .. 200,000",812,453,569,435,,,2499.0,2499.0,0.0,3366,
3513350,"0 .. 20,000",2142,947,1175,519,,,,,,0,
601150,"5,000,000 .. 10,000,000",1502,318,498,430,,,749.0,2999.0,75.0,2248,
530611,"0 .. 20,000",0,0,0,0,,,374.0,1499.0,75.0,0,
2848330,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
570,"100,000,000 .. 200,000,000",42581,1191,959,699,,,0.0,0.0,0.0,623941,
107410,"10,000,000 .. 20,000,000",13619,756,972,336,,,479.0,2999.0,84.0,7181,
582660,"5,000,000 .. 10,000,000",10086,2526,260,269,,,999.0,999.0,0.0,14345,
1172470,"100,000,000 .. 200,000,000",8990,538,718,200,,,0.0,0.0,0.0,124262,
1304930,"2,000,000 .. 5,000,000",1326,338,585,404,,,1599.0,3999.0,60.0,3743,
2344520,"1,000,000 .. 2,000,000",4509,644,1776,527,,,2749.0,4999.0,45.0,8835,
553850,"20,000,000 .. 50,000,000",4298,638,2210,300,,,3999.0,3999.0,0.0,53399,
3164500,"10,000,000 .. 20,000,000",1350,325,1031,121,,,1999.0,1999.0,0.0,22757,
814380,"10,000,000 .. 20,000,000",2544,384,1421,302,,,2999.0,5999.0,50.0,6767,
239140,"10,000,000 .. 20,000,000",2283,182,1139,124,,,399.0,1999.0,80.0,4953,
1086940,"20,000,000 .. 50,000,000",7198,640,4476,269,,,5999.0,5999.0,0.0,54771,
1245620,"20,000,000 .. 50,000,000",8116,394,5876,153,,,5999.0,5999.0,0.0,29529,
552990,"20,000,000 .. 50,000,000",5211,1068,265,229,,,0.0,0.0,0.0,8518,
306130,"5,000,000 .. 10,000,000",9405,768,1216,342,,,1999.0,1999.0,0.0,15987,
3533100,"0 .. 20,000",298,298,314,314,,,,,,0,
1903340,"2,000,000 .. 5,000,000",1825,630,1521,350,,,4999.0,4999.0,0.0,27880,
739630,"10,000,000 .. 20,000,000",2062,208,903,93,,,1499.0,1999.0,25.0,9978,
261550,"10,000,000 .. 20,000,000",8394,488,4572,172,,,4999.0,4999.0,0.0,14477,
916440,"1,000,000 .. 2,000,000",2057,567,630,361,,,5999.0,5999.0,0.0,2784,
2104890,"200,000 .. 500,000",1054,801,712,606,,,3999.0,3999.0,0.0,8156,
1659040,"2,000,000 .. 5,000,000",1500,136,381,57,,,2799.0,6999.0,60.0,2637,
668580,"1,000,000 .. 2,000,000",855,41,743,59,,,1979.0,5999.0,67.0,466,
359550,"20,000,000 .. 50,000,000",15316,643,2886,242,,,1999.0,1999.0,0.0,51847,
1110910,"500,000 .. 1,000,000",230,0,124,0,,,2999.0,2999.0,0.0,9,
1110910,"500,000 .. 1,000,000",230,0,124,0,,,2999.0,2999.0,0.0,9,
2404880,"100,000 .. 200,000",774,774,794,794,,,1799.0,1999.0,10.0,3296,
236390,"20,000,000 .. 50,000,000",8986,810,375,347,,,0.0,0.0,0.0,50478,
244210,"5,000,000 .. 10,000,000",2732,235,272,108,,,1999.0,1999.0,0.0,8961,
2440510,"1,000,000 .. 2,000,000",1562,571,1703,571,,,3499.0,6999.0,50.0,506,
2325290,"0 .. 20,000",659,444,45,548,,,,,,0,
1284210,"2,000,000 .. 5,000,000",1321,764,191,294,,,0.0,0.0,0.0,3277,
2947440,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
2531310,"500,000 .. 1,000,000",2097,731,1499,348,,,4999.0,4999.0,0.0,4405,
526870,"10,000,000 .. 20,000,000",5840,1024,1941,1150,,,2799.0,3999.0,30.0,12596,
431960,"20,000,000 .. 50,000,000",4292,157,979,8,,,499.0,499.0,0.0,91184,
582010,"10,000,000 .. 20,000,000",9214,528,2921,308,,,989.0,2999.0,67.0,11923,
2767030,"0 .. 20,000",2592,673,450,375,,,0.0,0.0,0.0,106611,
883710,"5,000,000 .. 10,000,000",1581,333,777,561,,,999.0,3999.0,75.0,1123,
