game_id,name,release_date,total_reviews,positive_percent
730,Counter-Strike 2,"21 Aug, 2012",8814564.0,86.0
2622380,ELDEN RING NIGHTREIGN,"29 May, 2025",43714.0,74.0
381210,Dead by Daylight,"14 Jun, 2016",579553.0,79.0
2138720,REMATCH,"19 Jun, 2025",,
1172710,Dune: Awakening,"10 Jun, 2025",,
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",2557153.0,59.0
2669320,EA SPORTS FC™ 25,"26 Sep, 2024",68516.0,49.0
2625420,Drive Beyond Horizons,"24 Mar, 2025",6064.0,80.0
570,Dota 2,"9 Jul, 2013",2499776.0,81.0
3489700,Stellar Blade™,"11 Jun, 2025",,
3241660,R.E.P.O.,"26 Feb, 2025",151702.0,96.0
359550,Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",1189900.0,84.0
252490,Rust,"8 Feb, 2018",1019550.0,87.0
552990,World of Warships,"15 Nov, 2017",146516.0,77.0
1665460,eFootball™,"29 Sep, 2021",92247.0,47.0
227300,Euro Truck Simulator 2,"12 Oct, 2012",658152.0,97.0
3183280,Game of Thrones: Kingsroad,"21 May, 2025",3475.0,61.0
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"21 Mar, 2019",234390.0,95.0
306130,The Elder Scrolls® Online,"22 May, 2017",127812.0,82.0
1304930,The Outlast Trials,"5 Mar, 2024",55388.0,93.0
3059520,F1® 25,"30 May, 2025",1770.0,89.0
2104890,RoadCraft,"20 May, 2025",6241.0,73.0
2933620,Call of Duty®: Black Ops 6,"24 Oct, 2024",11870.0,45.0
1172470,Apex Legends™,"4 Nov, 2020",994745.0,67.0
1903340,Clair Obscur: Expedition 33,"24 Apr, 2025",74964.0,95.0
389430,Knight Online,"25 Jan, 2016",10884.0,50.0
1245620,ELDEN RING,"24 Feb, 2022",765829.0,92.0
582660,Black Desert,"16 May, 2018",58958.0,75.0
2183900,"Warhammer 40,000: Space Marine 2","9 Sep, 2024",118829.0,83.0
2221490,Tom Clancy’s The Division® 2,"12 Jan, 2023",20065.0,77.0
3164500,Schedule I,"24 Mar, 2025",187217.0,98.0
236390,War Thunder,"15 Aug, 2013",626142.0,73.0
3533100,Wrap House Simulator🌯,"29 May, 2025",242.0,87.0
534380,Dying Light 2 Stay Human: Reloaded Edition,"3 Feb, 2022",145811.0,79.0
2623190,The Elder Scrolls IV: Oblivion Remastered,"22 Apr, 2025",45390.0,81.0
553850,HELLDIVERS™ 2,"8 Feb, 2024",740560.0,77.0
2784470,9 Kings,"23 May, 2025",4730.0,92.0
489830,The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",189400.0,94.0
2344520,Diablo® IV,"7 Oct, 2024",36372.0,71.0
2404880,Car Dealer Simulator,"29 May, 2025",636.0,78.0
2767030,Marvel Rivals,"5 Dec, 2024",287101.0,79.0
435150,Divinity: Original Sin 2 - Definitive Edition,"14 Sep, 2017",166117.0,95.0
668580,Atomic Heart,"20 Feb, 2023",28960.0,82.0
2429640,THRONE AND LIBERTY,"1 Oct, 2024",63503.0,68.0
2300320,Farming Simulator 25,"12 Nov, 2024",21654.0,83.0
2651280,Marvel's Spider-Man 2,"30 Jan, 2025",13846.0,76.0
1086940,Baldur's Gate 3,"3 Aug, 2023",670506.0,96.0
3400930,Guilty as Sock!,"29 May, 2025",535.0,92.0
1284210,Guild Wars 2,"23 Aug, 2022",21522.0,88.0
2000950,Call of Duty®: Modern Warfare®,"8 Mar, 2023",19872.0,79.0
