app_id,total_reviews,total_positive,total_negative,review_score_desc,followers,tags
730,4520872,3896341,624531,Very Positive,,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Co-op', '+']"
1888930,45366,36277,9089,Mostly Positive,,[]
578080,1738992,965932,773060,Mixed,,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Co-op', '+']"
570,14349,12202,2147,Very Positive,,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', '+']"
553850,730470,565426,165044,Mostly Positive,,[]
2669320,67539,33702,33837,Mixed,,"['Sports', 'Football (Soccer)', 'Simulation', 'Controller', 'Multiplayer', 'eSports', 'Competitive', 'Local Co-Op', 'Singleplayer', '+']"
1665460,1213,362,851,Mostly Negative,,"['Football (Soccer)', 'Free to Play', 'Controller', 'Multiplayer', 'Sports', 'eSports', 'Simulation', 'Local Multiplayer', 'PvP', '+']"
252490,1017981,892304,125677,Very Positive,,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', '+']"
3183280,1145,722,423,Mixed,,"['Online Co-Op', 'Multiplayer', 'Choose Your Own Adventure', 'Exploration', 'Action RPG', 'PvE', 'RPG', 'Action-Adventure', '+']"
534380,145485,115730,29755,Mostly Positive,,"['Open World', 'Co-op', 'Zombies', 'Parkour', 'Multiplayer', 'Horror', 'Gore', 'Combat', 'Post-apocalyptic', 'Survival', '+']"
381210,578139,457010,121129,Mostly Positive,,"['Gore', 'Blood', 'Violent', 'Mature']"
1172470,1550,1168,382,Mostly Positive,,"['Free to Play', 'Multiplayer', 'Battle Royale', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', '+']"
552990,1977,1463,514,Mostly Positive,,"['Free to Play', 'Naval Combat', 'Action', 'Co-op', 'Tactical', 'Online Co-Op', 'Multiplayer', 'Naval', 'PvP', 'World War II', '+']"
2625420,5563,4479,1084,Very Positive,,"['Early Access', 'Adventure', 'Automobile Sim', 'Simulation', 'Action', 'Multiplayer', 'Casual', 'Exploration', 'Driving', 'FPS', '+']"
2221490,19528,15151,4377,Mostly Positive,,[]
2183900,118135,98390,19745,Very Positive,,"['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Multiplayer', 'Co-op', 'PvE', 'Adventure', 'Action-Adventure', 'Sci-fi', '+']"
2878980,22238,13319,8919,Mixed,,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Controller', 'Management', 'PvP', 'Character Customization', 'Trading', '+']"
2104890,4958,3599,1359,Mostly Positive,,"['Simulation', 'Building', 'Driving', 'Physics', 'Adventure', 'Online Co-Op', 'Automation', 'Automobile Sim', 'Nature', 'Co-op', '+']"
582660,58911,44656,14255,Mostly Positive,,"['MMORPG', 'Massively Multiplayer', 'Open World', 'Character Customization', 'RPG', 'Adventure', 'Fantasy', 'Action', '3D', '+']"
1449850,0,0,0,No user reviews,,"['Card Game', 'Free to Play', 'Strategy', 'Trading Card Game', 'Multiplayer', 'PvP', 'Card Battler', 'Anime', 'Simulation', '+']"
230410,2887,2531,356,Very Positive,,[]
1142710,83528,60457,23071,Mostly Positive,,"['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'War', 'Dark Fantasy', 'Action', '+']"
1284210,348,320,28,Very Positive,,"['MMORPG', 'Adventure', 'RPG', 'Character Customization', 'Free to Play', 'Fantasy', 'Third Person', '3D', 'PvP', '+']"
359550,1187949,1002053,185896,Very Positive,,"['FPS', 'PvP', 'Multiplayer', 'eSports', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'War', '+']"
1466060,7684,6756,928,Very Positive,,"['Adventure', 'Open World', 'RPG', 'Dark Fantasy', 'Third Person', 'First-Person', 'Exploration', 'Character Customization', '+']"
389430,112,54,58,Mixed,,"['Free to Play', 'MMORPG', 'Massively Multiplayer', 'Action', 'Open World', 'Multiplayer', 'PvP', 'Adventure', 'RPG', 'War', '+']"
236390,1773,1271,502,Mostly Positive,,"['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'World War II', 'Flight', 'VR', 'War', 'Military', 'Tanks', 'Action', '+']"
3017860,13207,11401,1806,Very Positive,,[]
221100,355660,275202,80458,Mostly Positive,,[]
2767030,0,0,0,No user reviews,,"['Free to Play', 'Multiplayer', 'Hero Shooter', 'Third-Person Shooter', 'Superhero', 'PvP', 'Action', 'Team-Based', 'Shooter', '+']"
1085660,127871,100256,27615,Mostly Positive,,"['Free to Play', 'Open World', 'Multiplayer', 'Looter Shooter', 'MMORPG', 'FPS', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Loot', '+']"
1258080,0,0,0,No user reviews,,"['Idler', 'Shop Keeper', 'Medieval', 'Crafting', 'Base Building', 'Management', 'Economy', 'Trading', 'RPG', 'Simulation', '+']"
2139460,12,12,0,Positive,,"['Multiplayer', 'Free to Play', 'Survival', 'Open World Survival Craft', 'Open World', 'Horror', 'Co-op', 'Strategy', 'Shooter', '+']"
1029690,17402,14472,2930,Very Positive,,"['Singleplayer', 'Stealth', 'Sniper', 'Action', 'Multiplayer', 'World War II', 'Co-op', 'Shooter', 'Third-Person Shooter', 'Gore', '+']"
934700,9346,7230,2116,Mostly Positive,,[]
