game_id,rating_label,total_reviews,positive_reviews
2884150,8 user reviews,0,0
2782020,1 user reviews,0,0
3689920,No Data,0,0
3190840,No Data,0,0
2863040,1 user reviews,0,0
3597480,Positive,0,0
3462150,No Data,0,0
3622010,No Data,0,0
3669640,No Data,0,0
3698470,No Data,0,0
3547920,No Data,0,0
3684920,No Data,0,0
2890980,Positive,0,0
3698700,No Data,0,0
3679630,No Data,0,0
3112550,4 user reviews,0,0
3399850,No Data,0,0
3720670,1 user reviews,0,0
3669370,No Data,0,0
3697930,1 user reviews,0,0
3631850,Positive,0,0
3707090,No Data,0,0
3751840,3 user reviews,0,0
3660190,1 user reviews,0,0
3709980,No Data,0,0
3660190,1 user reviews,0,0
3709980,No Data,0,0
3604960,No Data,0,0
3745660,5 user reviews,0,0
3418810,No Data,0,0
3564910,3 user reviews,0,0
3472400,Positive,0,0
3639630,7 user reviews,0,0
3156440,No Data,0,0
3503280,No Data,0,0
3634480,No Data,0,0
3617580,1 user reviews,0,0
3672060,No Data,0,0
3620680,No Data,0,0
3430820,Positive,0,0
3749290,No Data,0,0
3722070,1 user reviews,0,0
3755080,Positive,0,0
3506550,No Data,0,0
2835250,3 user reviews,0,0
3713300,4 user reviews,0,0
3711060,5 user reviews,0,0
3713490,5 user reviews,0,0
3522480,No Data,0,0
3173740,Mostly Positive,0,0
3304220,No Data,0,0
3640190,No Data,0,0
3699090,No Data,0,0
3698950,No Data,0,0
3720710,No Data,0,0
3749420,No Data,0,0
3726430,No Data,0,0
3750100,No Data,0,0
3731540,No Data,0,0
3731520,No Data,0,0
3611720,2 user reviews,0,0
3502900,2 user reviews,0,0
3753150,No Data,0,0
3716240,No Data,0,0
3716250,No Data,0,0
595960,Very Positive,0,0
3750610,No Data,0,0
3744350,2 user reviews,0,0
3288920,No Data,0,0
3726750,Positive,0,0
3756210,1 user reviews,0,0
3743000,1 user reviews,0,0
3681480,Mostly Positive,0,0
3713580,No Data,0,0
3743960,3 user reviews,0,0
3713580,No Data,0,0
3743960,3 user reviews,0,0
2540240,5 user reviews,0,0
3716310,No Data,0,0
3718150,No Data,0,0
2915490,Mixed,0,0
3756720,No Data,0,0
3761590,No Data,0,0
3725770,No Data,0,0
3725770,No Data,0,0
3666470,No Data,0,0
3481480,2 user reviews,0,0
3566150,No Data,0,0
2810780,Very Positive,0,0
3246090,No Data,0,0
3246100,No Data,0,0
3745220,No Data,0,0
3681090,1 user reviews,0,0
3429680,No Data,0,0
3034520,Very Positive,0,0
3277250,No Data,0,0
2005480,No Data,0,0
3665350,No Data,0,0
3645700,No Data,0,0
3215290,Positive,0,0
2450230,No Data,0,0
1125510,Very Positive,0,0
3692510,No Data,0,0
2805200,No Data,0,0
3751590,1 user reviews,0,0
3711950,No Data,0,0
3278190,No Data,0,0
3152870,Very Positive,0,0
3022260,4 user reviews,0,0
3628960,Very Positive,0,0
3727860,4 user reviews,0,0
2358620,Mixed,0,0
3737840,9 user reviews,0,0
3169060,Mostly Positive,0,0
3621860,2 user reviews,0,0
3692270,2 user reviews,0,0
2283940,9 user reviews,0,0
2844310,Positive,0,0
3412210,No Data,0,0
3451590,No Data,0,0
3451580,No Data,0,0
3451550,No Data,0,0
3451570,1 user reviews,0,0
3451540,No Data,0,0
3451530,No Data,0,0
