game_id,original_price,discount_price,discount_percent
730,$68.26 USD,$58.84 USD,13.8
1888930,,,
578080,Free To Play,Free To Play,0.0
570,$68.26 USD,$58.84 USD,13.8
553850,,,
2669320,$69.99 USD,$69.99 USD,0.0
1665460,Free To Play,Free To Play,0.0
252490,$54.38 USD,"Your Price:
$39.28 USD",27.77
3183280,Free To Play,Free To Play,0.0
534380,$46.00,$15.18 USD,67.0
381210,,,
1172470,Free To Play,Free To Play,0.0
552990,Free To Play,Free To Play,0.0
2625420,$12.49 USD,$12.49 USD,0.0
2221490,,,
2183900,$39.99,$23.99 USD,40.01
2878980,$69.99 USD,$69.99 USD,0.0
2104890,$44.78 USD,$36.38 USD,18.76
582660,$4.99 USD,$4.99 USD,0.0
1449850,Free To Play,Free To Play,0.0
230410,,,
1142710,$49.99,$16.99 USD,66.01
1284210,Free To Play,Free To Play,0.0
359550,$15.99,$6.39 USD,60.04
1466060,$20.99 USD,$20.99 USD,0.0
389430,Free To Play,Free To Play,0.0
236390,Free To Play,Free To Play,0.0
3017860,,,
221100,,,
2767030,Free To Play,Free To Play,0.0
1085660,Free To Play,Free To Play,0.0
1258080,Free To Play,Free To Play,0.0
2139460,Free To Play,Free To Play,0.0
1029690,$49.99,$9.99 USD,80.02
934700,,,
